Subject,Object,Rel,Count
- Layer,Solar Cell,APL-APL,43
"1,3-Butadiene",Catalyst,APL-APL,34
"1,3-Butadiene Hydrogenation",Catalyst,APL-APL,37
"1,3-Dipolar Cycloaddition",Catalyst,APL-APL,40
1-Hexene,Catalyst,APL-APL,38
18650,Anode,APL-APL,42
18650,Cathode,APL-APL,49
18650,Cell,APL-APL,44
18650,Cells,APL-APL,48
2 Diabetes,Diabetes,APL-APL,33
2-Electrode,Electrode,APL-APL,53
2-Electrode,Electrodes,APL-APL,42
2-Electrode,Electrolyte,APL-APL,33
2032,Anode,APL-APL,33
2032,Cathode,APL-APL,37
2032,Coin Cell,APL-APL,48
2032,Electrolyte,APL-APL,30
2D,Detector,APL-APL,32
2D,Electrode,APL-APL,33
2D,Electrodes,APL-APL,36
2DEG,Quantum Well,APL-APL,31
2DEG,Two,APL-APL,37
3,Electrode,APL-APL,42
3 Electrode Cell,Electrode,APL-APL,46
3 Electrode Cell,Electrodes,APL-APL,39
3-Electrode,Cell,APL-APL,46
3-Electrode,Cells,APL-APL,30
3-Electrode,Electrode,APL-APL,104
3-Electrode,Electrodes,APL-APL,79
3-Electrode,Electrolyte,APL-APL,62
3-Electrode,Reference Electrode,APL-APL,44
3-Electrode,Working Electrodes,APL-APL,30
39-Bus,Power Systems,APL-APL,43
3D,Anode,APL-APL,65
3D,Battery,APL-APL,36
3D,Catalyst,APL-APL,43
3D,Cathode,APL-APL,54
3D,Cell,APL-APL,54
3D,Cells,APL-APL,36
3D,Coatings,APL-APL,52
3D,Current Collector,APL-APL,45
3D,Detector,APL-APL,54
3D,Electrode,APL-APL,215
3D,Electrodes,APL-APL,186
3D,Electrolyte,APL-APL,45
3D,Sensor,APL-APL,83
3D,Supercapacitor,APL-APL,34
3D,TSV,APL-APL,30
3D Cell Culture,Tissue Engineering,APL-APL,38
3D Electrode,Electrode,APL-APL,62
3D Electrode,Electrodes,APL-APL,55
3D Printing,Printing,APL-APL,36
3He,Detector,APL-APL,30
4-NP,4-Nitrophenol,APL-APL,40
4-NP,Catalyst,APL-APL,130
4-NP,Catalytic Reduction,APL-APL,58
4-NP,Reduction Of,APL-APL,33
4-NP,Reductions,APL-APL,85
4-NP Reduction,Catalyst,APL-APL,76
4-NP Reduction,Reductions,APL-APL,36
4-Nitrophenol,4-NP,APL-APL,40
4-Nitrophenol,Catalyst,APL-APL,95
4-Nitrophenol,Reduction Of,APL-APL,56
4-Nitrophenol,Reductions,APL-APL,65
4-Nitrophenol Reduction,Catalyst,APL-APL,92
4-Nitrophenol Reduction,Reductions,APL-APL,41
4t1,Breast Cancer,APL-APL,120
4t1,Breast Tumor,APL-APL,51
4t1,Cancer,APL-APL,64
4t1,Cancer Therapy,APL-APL,36
4t1,Cells,APL-APL,31
4t1,Drug Delivery,APL-APL,33
4t1,Imaging,APL-APL,32
4t1,Liver,APL-APL,40
4t1,Lung,APL-APL,31
4t1,Mice,APL-APL,125
4t1,PDT,APL-APL,69
