Subject,Object,Rel,Count
- Layer,Silicon,APL-CHM,35
"1,3-Butadiene Hydrogenation","1,3-Butadiene",APL-CHM,46
1-Butene Isomerization,1-Butene,APL-CHM,46
1-Hexene Polymerization,1-Hexene,APL-CHM,30
18650,Graphite,APL-CHM,30
18650,Li,APL-CHM,39
18650,Lithium,APL-CHM,52
1B,Tyrosine,APL-CHM,45
1O2,Oxygen,APL-CHM,32
2 Diabetes,Glucose,APL-CHM,84
2-Electrode,Carbon,APL-CHM,32
2032,Li,APL-CHM,55
2D,Graphene,APL-CHM,58
2D,MoS2,APL-CHM,38
2D,Si,APL-CHM,33
2DEG,GaAs,APL-CHM,53
3,Carbon,APL-CHM,31
3-Dof,3-DOF,APL-CHM,49
3-Electrode,Ag,APL-CHM,30
3-Electrode,Carbon,APL-CHM,49
3-Electrode,Li,APL-CHM,31
3-Electrode,Pt,APL-CHM,38
3D,Ag,APL-CHM,49
3D,Au,APL-CHM,51
3D,Carbon,APL-CHM,158
3D,Copper,APL-CHM,47
3D,Cu,APL-CHM,75
3D,Graphene,APL-CHM,86
3D,Hydrogen,APL-CHM,51
3D,Li,APL-CHM,62
3D,Lithium,APL-CHM,61
3D,Ni,APL-CHM,55
3D,Oxygen,APL-CHM,46
3D,PDMS,APL-CHM,51
3D,Si,APL-CHM,69
3D,SiO2,APL-CHM,36
3D,Silica,APL-CHM,30
3D,Silicon,APL-CHM,118
3D,Silver,APL-CHM,34
3D,Ti,APL-CHM,35
3D,TiO2,APL-CHM,41
3D Electrode,Carbon,APL-CHM,43
4-NP,4-AP,APL-CHM,51
4-NP,4-Nitrophenol,APL-CHM,116
4-NP,Ag,APL-CHM,46
4-NP,Au,APL-CHM,78
4-NP,Carbon,APL-CHM,30
4-NP,NaBH4,APL-CHM,99
4-NP Reduction,4-NP,APL-CHM,106
4-NP Reduction,4-Nitrophenol,APL-CHM,38
4-NP Reduction,Au,APL-CHM,36
4-NP Reduction,NaBH4,APL-CHM,51
4-Nitrophenol,4-Aminophenol,APL-CHM,36
4-Nitrophenol,4-NP,APL-CHM,74
4-Nitrophenol,Ag,APL-CHM,41
4-Nitrophenol,Au,APL-CHM,56
4-Nitrophenol,Carbon,APL-CHM,30
4-Nitrophenol,Graphene Oxide,APL-CHM,30
4-Nitrophenol,NaBH4,APL-CHM,51
