Subject,Object,Rel,Count
2-Electrode,SEM,APL-CMT,38
2032,SEM,APL-CMT,40
2032,TEM,APL-CMT,30
2032,XRD,APL-CMT,36
2D,SEM,APL-CMT,45
2D,Society,APL-CMT,32
3,SEM,APL-CMT,32
3 Electrode Cell,SEM,APL-CMT,32
3-Electrode,CV,APL-CMT,51
3-Electrode,Cyclic Voltammogram,APL-CMT,38
3-Electrode,Nyquist Plot,APL-CMT,33
3-Electrode,SEM,APL-CMT,64
3-Electrode,TEM,APL-CMT,31
3-Electrode,XRD,APL-CMT,32
3D,HRTEM,APL-CMT,37
3D,Of Chemistry,APL-CMT,57
3D,Optical Image,APL-CMT,58
3D,Raman,APL-CMT,36
3D,SEM,APL-CMT,194
3D,Scanning Electron Microscopy,APL-CMT,40
3D,Society,APL-CMT,57
3D,TEM,APL-CMT,78
3D,XPS,APL-CMT,38
3D,XRD,APL-CMT,52
3D Printing,SEM,APL-CMT,53
4-NP,HRTEM,APL-CMT,55
4-NP,SEM,APL-CMT,70
4-NP,TEM,APL-CMT,122
4-NP,UV Vis Absorption,APL-CMT,31
4-NP,UV-VIS Spectral,APL-CMT,34
4-NP,XPS,APL-CMT,52
4-NP,XRD,APL-CMT,83
4-NP Reduction,HRTEM,APL-CMT,36
4-NP Reduction,SEM,APL-CMT,32
4-NP Reduction,TEM,APL-CMT,74
4-NP Reduction,XPS,APL-CMT,44
4-NP Reduction,XRD,APL-CMT,45
4-Nitrophenol,SEM,APL-CMT,31
4-Nitrophenol,TEM,APL-CMT,41
4-Nitrophenol,XRD,APL-CMT,34
4-Nitrophenol Reduction,HRTEM,APL-CMT,34
4-Nitrophenol Reduction,SEM,APL-CMT,37
4-Nitrophenol Reduction,TEM,APL-CMT,92
4-Nitrophenol Reduction,XPS,APL-CMT,36
4-Nitrophenol Reduction,XRD,APL-CMT,41
4t1,1H NMR,APL-CMT,36
4t1,AFM,APL-CMT,32
4t1,CLSM,APL-CMT,112
4t1,Confocal Image,APL-CMT,46
4t1,Confocal Microscopy,APL-CMT,35
4t1,Curves,APL-CMT,37
4t1,DLS,APL-CMT,121
4t1,Dynamic Light Scattering,APL-CMT,43
4t1,E Staining,APL-CMT,31
4t1,FTIR,APL-CMT,36
4t1,Flow Cytometry,APL-CMT,137
4t1,Fluorescence,APL-CMT,112
4t1,Fluorescence Image,APL-CMT,83
4t1,Fluorescence Imaging,APL-CMT,62
4t1,Fluorescence Microscopy,APL-CMT,38
4t1,Fluorescence Spectra,APL-CMT,38
4t1,H & E Staining,APL-CMT,56
4t1,H&E,APL-CMT,49
4t1,H&E Stained,APL-CMT,43
4t1,HRTEM,APL-CMT,52
4t1,IR Thermal Images,APL-CMT,38
4t1,Infrared Thermal Images,APL-CMT,30
4t1,MRI,APL-CMT,36
4t1,MTT Assay,APL-CMT,43
4t1,Of Chemistry,APL-CMT,31
4t1,PA,APL-CMT,57
4t1,PA Imaging,APL-CMT,30
4t1,SEM,APL-CMT,102
4t1,Society,APL-CMT,36
4t1,Survival Curve,APL-CMT,33
4t1,TEM,APL-CMT,338
4t1,Transmission Electron Microscopy,APL-CMT,31
4t1,Tunel,APL-CMT,37
4t1,Tunel Staining,APL-CMT,44
4t1,UV Vis Absorption,APL-CMT,40
4t1,Western Blots,APL-CMT,33
4t1,XPS,APL-CMT,33
4t1,XRD,APL-CMT,60
96-Well,ELISA,APL-CMT,43
96-Well,Fluorescence,APL-CMT,44
96-Well,Microtiter,APL-CMT,44
96-Well,Plate,APL-CMT,75
96-Well,Plates,APL-CMT,35
96-Well,Western Blots,APL-CMT,33
96-Well Plate,ELISA,APL-CMT,30
96-Well Plate,Fluorescence,APL-CMT,30
AEM,1H NMR,APL-CMT,60
AEM,FTIR,APL-CMT,50
AEM,Polarization Curve,APL-CMT,38
AEM,SAXS,APL-CMT,31
AEM,SEM,APL-CMT,110
AEM,TEM,APL-CMT,56
AEM,XRD,APL-CMT,37
AEMFC,Polarization Curve,APL-CMT,40
AEMFC,SEM,APL-CMT,34
AEMFC,TEM,APL-CMT,46
AEMFC,XRD,APL-CMT,34
AEMS,1H NMR,APL-CMT,81
AEMS,AFM,APL-CMT,41
AEMS,FTIR,APL-CMT,36
AEMS,SAXS,APL-CMT,56
AEMS,SEM,APL-CMT,45
AEMS,Small Angle X-ray Scattering,APL-CMT,36
AEMS,TEM,APL-CMT,47
AEMS,Tga,APL-CMT,70
AEMs,1H NMR,APL-CMT,83
AEMs,AFM,APL-CMT,35
AEMs,Arrhenius Plot,APL-CMT,36
AEMs,FT-IR,APL-CMT,34
AEMs,FTIR,APL-CMT,32
AEMs,SAXS,APL-CMT,50
AEMs,SEM,APL-CMT,50
AEMs,TEM,APL-CMT,43
AEMs,TGA,APL-CMT,86
AFM,3D,APL-CMT,35
AFM,AFM Topography,APL-CMT,96
AFM,Atomic Force Microscopy,APL-CMT,536
AFM,Contact Mode AFM,APL-CMT,37
AFM,Curves,APL-CMT,92
AFM,Cyclic Voltammogram,APL-CMT,31
AFM,Fluorescence,APL-CMT,38
AFM,Force Curve,APL-CMT,198
AFM,Force Distance Curve,APL-CMT,127
AFM,Force Measurement,APL-CMT,51
AFM,Force Spectroscopy,APL-CMT,58
AFM,Gaussian Fit,APL-CMT,42
AFM,HRTEM,APL-CMT,32
AFM,Height Images,APL-CMT,53
AFM,Height Profile,APL-CMT,52
AFM,Histogram,APL-CMT,34
AFM,Mode,APL-CMT,30
AFM,Of Chemistry,APL-CMT,38
AFM,Optical Image,APL-CMT,78
AFM,Optical Micrograph,APL-CMT,34
AFM,Optical Microscope,APL-CMT,31
