Subject,Object,Rel,Count
- Layer,Film,APL-DSC,39
- Layer,Films,APL-DSC,37
- Layer,Layers,APL-DSC,110
- Layer,Singlet,APL-DSC,49
- Layer,Substrate,APL-DSC,41
2D,3D,APL-DSC,56
2D,Bulk,APL-DSC,31
2D,Film,APL-DSC,57
2D,Films,APL-DSC,40
2D,Layers,APL-DSC,68
2D,Monolayers,APL-DSC,60
2D,Substrate,APL-DSC,72
2D,Surface,APL-DSC,64
2D,Two-Dimensional,APL-DSC,81
2DEG,Heterostructure,APL-DSC,45
2DEG,Interface,APL-DSC,48
2DEG,Layers,APL-DSC,46
2DEG,Surface,APL-DSC,44
3,Layers,APL-DSC,34
3,Substrate,APL-DSC,31
3-Electrode,Surface,APL-DSC,39
3D,1D,APL-DSC,36
3D,2D,APL-DSC,170
3D,Array,APL-DSC,46
3D,Bars,APL-DSC,32
3D,Bulk,APL-DSC,36
3D,Composite,APL-DSC,96
3D,Doped,APL-DSC,44
3D,Fiber,APL-DSC,32
3D,Fibers,APL-DSC,32
3D,Film,APL-DSC,83
3D,Films,APL-DSC,54
3D,Foam,APL-DSC,41
3D,Foil,APL-DSC,30
3D,Hydrogel,APL-DSC,65
3D,Interface,APL-DSC,61
3D,Layers,APL-DSC,178
3D,Membrane,APL-DSC,38
3D,Nanoparticle,APL-DSC,39
3D,Nanoparticles,APL-DSC,97
3D,Nanorods,APL-DSC,33
3D,Nanosheets,APL-DSC,38
3D,Nanostructures,APL-DSC,34
3D,Nanotube,APL-DSC,53
3D,Nanowires,APL-DSC,33
3D,Particles,APL-DSC,64
3D,Porous,APL-DSC,70
3D,Scaffold,APL-DSC,37
3D,Scaffolds,APL-DSC,43
3D,Sheets,APL-DSC,31
3D,Substrate,APL-DSC,203
3D,Surface,APL-DSC,204
3D,Surfaces,APL-DSC,76
3D,Thin Films,APL-DSC,47
3D,Three Dimensional,APL-DSC,125
3D,Wafers,APL-DSC,45
3D Cell Culture,3D,APL-DSC,63
3D Cell Culture,Hydrogel,APL-DSC,65
3D Electrode,3D,APL-DSC,66
3D Printing,3D,APL-DSC,85
3D Printing,3D Printed,APL-DSC,44
3D Printing,Composite,APL-DSC,58
3D Printing,Hydrogel,APL-DSC,71
3D Printing,Layers,APL-DSC,54
3D Printing,Particles,APL-DSC,33
3D Printing,Substrate,APL-DSC,37
3D Printing,Surface,APL-DSC,49
4-NP,As Prepared,APL-DSC,31
4-NP,Composite,APL-DSC,39
4-NP,NPS,APL-DSC,54
4-NP,Nanocomposite,APL-DSC,37
4-NP,Nanoparticles,APL-DSC,92
4-NP,Surface,APL-DSC,39
4-NP Reduction,Nanoparticles,APL-DSC,36
4-Nitrophenol,Composite,APL-DSC,42
4-Nitrophenol,NPS,APL-DSC,46
4-Nitrophenol,Nanocomposite,APL-DSC,32
4-Nitrophenol,Nanoparticles,APL-DSC,113
4-Nitrophenol,Surface,APL-DSC,43
4-Nitrophenol Reduction,NPS,APL-DSC,35
4-Nitrophenol Reduction,Nanoparticles,APL-DSC,85
4-Nitrophenol Reduction,Surface,APL-DSC,36
4t1,Bars,APL-DSC,42
4t1,Cells,APL-DSC,139
4t1,Micelles,APL-DSC,58
4t1,NPS,APL-DSC,122
4t1,Nanocomposite,APL-DSC,34
4t1,Nanoparticle,APL-DSC,70
4t1,Nanoparticles,APL-DSC,211
4t1,Nanosheets,APL-DSC,30
4t1,Particles,APL-DSC,33
4t1,Surface,APL-DSC,72
4t1,Tumor,APL-DSC,126
4t1,Tumor Sections,APL-DSC,52
4t1,Tumor Slices,APL-DSC,30
4t1,Tumours,APL-DSC,115
96-Well,Cell,APL-DSC,32
96-Well,Cells,APL-DSC,67
96-Well,Plate,APL-DSC,31
96-Well,Surface,APL-DSC,52
96-Well Plate,Cells,APL-DSC,75
96-Well Plate,Membrane,APL-DSC,33
96-Well Plate,Surface,APL-DSC,49
ABS,Composite,APL-DSC,31
ABS,Surface,APL-DSC,37
ADC,Layers,APL-DSC,30
ADC,Surface,APL-DSC,30
ADS,Eutectic,APL-DSC,47
AEM,Layers,APL-DSC,42
AEM,Membrane,APL-DSC,390
AEM,Surface,APL-DSC,90
AEMFC,Doped,APL-DSC,34
AEMFC,Membrane,APL-DSC,74
AEMS,Copolymer,APL-DSC,34
AEMS,Membrane,APL-DSC,334
AEMS,Surface,APL-DSC,44
AEMs,Membrane,APL-DSC,137
AFM,2D,APL-DSC,35
AFM,3D,APL-DSC,34
AFM,Amorphous,APL-DSC,39
AFM,Array,APL-DSC,41
AFM,Bars,APL-DSC,34
AFM,Bilayer,APL-DSC,69
AFM,Bilayers,APL-DSC,40
AFM,Bulk,APL-DSC,84
AFM,Cantilevered,APL-DSC,63
AFM,Cell,APL-DSC,36
AFM,Cells,APL-DSC,42
AFM,Coated,APL-DSC,144
AFM,Composite,APL-DSC,31
AFM,Crystal,APL-DSC,73
AFM,Crystalline,APL-DSC,36
AFM,Doped,APL-DSC,41
AFM,Fiber,APL-DSC,31
AFM,Fibers,APL-DSC,39
AFM,Film,APL-DSC,246
AFM,Films,APL-DSC,137
AFM,Interface,APL-DSC,190
AFM,Layers,APL-DSC,286
AFM,Membrane,APL-DSC,102
AFM,Monolayers,APL-DSC,224
AFM,Nanoparticle,APL-DSC,90
AFM,Nanoparticles,APL-DSC,129
AFM,Nanorods,APL-DSC,33
AFM,Nanoscale,APL-DSC,50
AFM,Nanostructure,APL-DSC,34
AFM,Nanostructures,APL-DSC,67
AFM,Nanotube,APL-DSC,92
AFM,Nanowire,APL-DSC,54
AFM,Nanowires,APL-DSC,49
AFM,Particle,APL-DSC,73
AFM,Particles,APL-DSC,122
AFM,Patterned,APL-DSC,34
AFM,SAM,APL-DSC,85
AFM,SAMS,APL-DSC,59
AFM,Single Crystal,APL-DSC,36
AFM,Sphere,APL-DSC,61
AFM,Substrate,APL-DSC,676
AFM,Substrate Surface,APL-DSC,33
AFM,Surface,APL-DSC,996
AFM,Surfaces,APL-DSC,367
AFM,Thin,APL-DSC,43
AFM,Thin Films,APL-DSC,88
AFM,Tip,APL-DSC,146
AFM,Wafers,APL-DSC,95
AFM,Wire,APL-DSC,34
AFM Cantilever,Substrate,APL-DSC,55
AFM Cantilever,Surface,APL-DSC,98
AFM Cantilever,Surfaces,APL-DSC,44
AFM Tips,Coated,APL-DSC,102
AFM Tips,Film,APL-DSC,60
AFM Tips,Films,APL-DSC,40
AFM Tips,Interface,APL-DSC,46
AFM Tips,Layers,APL-DSC,84
AFM Tips,Membrane,APL-DSC,40
AFM Tips,Monolayers,APL-DSC,80
AFM Tips,Nanoparticles,APL-DSC,34
AFM Tips,Particles,APL-DSC,32
AFM Tips,SAM,APL-DSC,39
AFM Tips,SAMS,APL-DSC,35
AFM Tips,Substrate,APL-DSC,189
AFM Tips,Surface,APL-DSC,271
AFM Tips,Surfaces,APL-DSC,112
AFM Tips,Tip,APL-DSC,57
AG,Doped,APL-DSC,34
AG,Film,APL-DSC,113
AG,Films,APL-DSC,80
AG,Glassy,APL-DSC,115
AG,Layers,APL-DSC,66
AG,Membrane,APL-DSC,37
AG,Nanoparticles,APL-DSC,39
AG,Substrate,APL-DSC,92
AG,Surface,APL-DSC,109
AG,Thin Films,APL-DSC,56
AG,Wire,APL-DSC,53
AM,Alloys,APL-DSC,30
AM,Layers,APL-DSC,67
AM,Powder,APL-DSC,61
AM,Surface,APL-DSC,40
AMCS,Matrix Composite,APL-DSC,48
ANMBR,Membrane,APL-DSC,32
AOM,Sediments,APL-DSC,33
APC,Surface,APL-DSC,41
APCS,Nanoparticles,APL-DSC,32
AR,Film,APL-DSC,72
AR,Films,APL-DSC,68
AR,Layers,APL-DSC,94
AR,Substrate,APL-DSC,90
AR,Surface,APL-DSC,68
AR Coating,Layers,APL-DSC,40
AR Coating,Substrate,APL-DSC,36
AR Coating,Surface,APL-DSC,30
ARC,Bulk,APL-DSC,81
ARC,Composite,APL-DSC,34
ARC,Continental,APL-DSC,34
ARC,Continental Crust,APL-DSC,32
ARC,Crust,APL-DSC,82
ARC,Crystal,APL-DSC,56
ARC,Crystalline,APL-DSC,39
ARC,Film,APL-DSC,97
ARC,Films,APL-DSC,77
ARC,Glass,APL-DSC,48
ARC,Interface,APL-DSC,47
ARC,Lavas,APL-DSC,71
ARC,Layers,APL-DSC,209
ARC,Mantle,APL-DSC,99
ARC,Nanoparticles,APL-DSC,37
ARC,Particles,APL-DSC,38
ARC,Phenocryst,APL-DSC,39
ARC,Porous,APL-DSC,32
ARC,Rocks,APL-DSC,41
