Subject,Object,Rel,Count
"1,3-Dipolar",Cycloaddition,APL-SMT,51
3D,3D Printed,APL-SMT,42
3D,3D Printing,APL-SMT,61
3D,Coated,APL-SMT,78
3D,Printing,APL-SMT,37
3D Printer,3D Printed,APL-SMT,30
3D Printing,3D,APL-SMT,45
3D Printing,3D Printed,APL-SMT,85
3D Printing,Extrusion,APL-SMT,47
3D Printing,Printed,APL-SMT,39
3D Printing,Printing,APL-SMT,63
4t1,Irradiated,APL-SMT,57
4t1,Irradiation,APL-SMT,158
4t1,Laser Irradiation,APL-SMT,113
4t1,NIR Irradiation,APL-SMT,43
4t1,NIR Laser Irradiation,APL-SMT,50
4t1,PDT,APL-SMT,39
4t1,PEGylated,APL-SMT,32
4t1,PTT,APL-SMT,37
AAMS,Alkali Activated,APL-SMT,33
ABE Fermentation,Fermentation,APL-SMT,35
ADI,Austempered,APL-SMT,60
ADS,Irradiation,APL-SMT,36
AEM,ED,APL-SMT,33
AEM,Electrodialysis,APL-SMT,53
AEM,Quaternization,APL-SMT,33
AEM,Quaternized,APL-SMT,33
AEMS,Quaternization,APL-SMT,48
AEMS,Quaternized,APL-SMT,43
AFM,Annealing,APL-SMT,31
AFM,Coated,APL-SMT,206
AFM,Etching,APL-SMT,33
AFM,Oxidation,APL-SMT,50
AFM,Oxidize,APL-SMT,50
AFM,Self Assembled,APL-SMT,40
AFM Tips,Coated,APL-SMT,100
AG,Coated,APL-SMT,41
AM,3D Printing,APL-SMT,30
AM,Additive Manufacturing,APL-SMT,154
AM,Slm,APL-SMT,31
ANN,GA,APL-SMT,40
AOPS,Advanced Oxidation Process,APL-SMT,62
AOPS,UV,APL-SMT,36
AR,Coated,APL-SMT,38
AR Coating,AR,APL-SMT,42
ARC,Annealing,APL-SMT,32
ARC,Coated,APL-SMT,44
ARC,Etching,APL-SMT,30
ARC,Fractional Crystallization,APL-SMT,32
ARC,Melting,APL-SMT,148
ARC,Partial Melting,APL-SMT,42
ARC,Plasma,APL-SMT,33
ARC,Subducted,APL-SMT,36
ARC,Subduction,APL-SMT,30
ARC,Welding,APL-SMT,58
ASHP,Defrosting,APL-SMT,30
ATR,Autothermal Reforming,APL-SMT,42
ATR,Coated,APL-SMT,30
ATR,Irradiation,APL-SMT,30
Abrasive,CMP,APL-SMT,93
Abrasive,Chemical Mechanical Polishing,APL-SMT,50
Abrasive,Grinding,APL-SMT,53
Abrasive,Polished,APL-SMT,79
Abrasive,Polishing,APL-SMT,98
Absorbent,Absorption,APL-SMT,33
Absorbent,Calcination,APL-SMT,42
Absorbent,Coated,APL-SMT,38
Absorbent,Heating,APL-SMT,38
Absorber,Aging,APL-SMT,34
