Subject,Object,Rel,Count
2D,Hexagonal,APL-SPL,30
4t1,Breast,APL-SPL,33
AFM,Hexagonal,APL-SPL,35
AML,Acute Myeloid,APL-SPL,34
ARC,Alkaline,APL-SPL,42
ARC,Amphibolite,APL-SPL,32
ARC,Andesitic,APL-SPL,32
ARC,Basaltic,APL-SPL,60
ARC,Calc,APL-SPL,54
ARC,Chondrite,APL-SPL,50
ARC,Clinopyroxenes,APL-SPL,34
ARC,Garnet,APL-SPL,87
ARC,Granite,APL-SPL,30
ARC,Olivines,APL-SPL,41
ARC,Spinels,APL-SPL,39
ARC,Tholeiitic,APL-SPL,30
Absorber,Chalcopyrite,APL-SPL,120
Absorber,Cubic,APL-SPL,80
Absorber,Hexagonal,APL-SPL,62
Absorber,Kesterite,APL-SPL,115
Absorber,Orthorhombic,APL-SPL,35
Absorber,Perovskites,APL-SPL,596
Absorber,S T,APL-SPL,36
Absorber,Tetragonal,APL-SPL,46
Absorber Layer,Chalcopyrite,APL-SPL,74
Absorber Layer,Kesterite,APL-SPL,88
Absorber Layer,Perovskites,APL-SPL,256
Absorber Layer,Tetragonal,APL-SPL,30
Absorbers,Chalcopyrite,APL-SPL,61
Absorbers,Kesterite,APL-SPL,63
Absorbers,Perovskites,APL-SPL,275
Absorbing Layer,Perovskites,APL-SPL,47
Acceptor,Perovskites,APL-SPL,35
Active Layer,Anatase,APL-SPL,31
Active Layer,Cubic,APL-SPL,46
Active Layer,Hexagonal,APL-SPL,52
Active Layer,Perovskites,APL-SPL,439
Active Layer,S T,APL-SPL,40
Actuator,Austenite,APL-SPL,50
Actuator,Martensite,APL-SPL,86
Actuator,Martensitic,APL-SPL,63
Actuator,Perovskites,APL-SPL,88
Actuator,Tetragonal,APL-SPL,37
Adenocarcinoma,Lung,APL-SPL,58
Adhesive,Hexagonal,APL-SPL,30
Adipocyte,Brown,APL-SPL,30
Adsorbent,Abstract,APL-SPL,59
Adsorbent,Anatase,APL-SPL,65
Adsorbent,BSTRAct,APL-SPL,37
Adsorbent,Cubic,APL-SPL,84
Adsorbent,Hexagonal,APL-SPL,169
Adsorbent,Hydrotalcite,APL-SPL,38
