Subject,Object,Rel,Count
(A)Al2O3,Catalyst,CHM-APL,49
(B) 1H,Catalyst,CHM-APL,36
(B) 1H,Electrode,CHM-APL,31
(B) 1H,Tumours,CHM-APL,35
(B) C,Catalyst,CHM-APL,116
(B) C,Electrode,CHM-APL,137
(B) C,Electrodes,CHM-APL,139
(B) CO2,Catalyst,CHM-APL,41
(B) O,Catalyst,CHM-APL,54
"(Ba,Sr)2SiO4",Phosphors,CHM-APL,31
(C) O,Catalyst,CHM-APL,55
(NH4)2CO3,Catalyst,CHM-APL,47
(NH4)2S2O8,Catalyst,CHM-APL,37
(NH4)2SO4,Catalyst,CHM-APL,68
(NH4)2SO4,Cathode,CHM-APL,37
(NH4)2SO4,Coatings,CHM-APL,37
(NH4)2SO4,Electrode,CHM-APL,115
(NH4)2SO4,Electrodes,CHM-APL,73
(NH4)2SO4,Electrolyte,CHM-APL,62
(NH4)6Mo7O24·4H2O,Catalyst,CHM-APL,36
(NO3)2,Catalyst,CHM-APL,31
(NO3)2,Electrode,CHM-APL,37
"(Ni,Cu)3Sn4",Solders,CHM-APL,34
(OH)2,Electrode,CHM-APL,32
"(Ti,Al)N",Coatings,CHM-APL,87
(VO)2P2O7,Catalyst,CHM-APL,97
(e) C,Electrode,CHM-APL,66
(e) C,Electrodes,CHM-APL,55
*CO,CO2 Reduction,CHM-APL,36
*CO,CO2RR,CHM-APL,37
*CO,Catalyst,CHM-APL,89
*CO,Electrode,CHM-APL,37
-Al2O3,Catalyst,CHM-APL,592
-Al2O3,Hydrogenation,CHM-APL,46
-Al2O3,Reactors,CHM-APL,37
-COOH,Adsorbent,CHM-APL,33
-COOH,Catalyst,CHM-APL,74
-COOH,Coatings,CHM-APL,33
-COOH,Electrode,CHM-APL,56
-COOH,Electrodes,CHM-APL,35
-COOH,Membrane,CHM-APL,34
-MnO2,Catalyst,CHM-APL,66
-MnO2,Cathode,CHM-APL,40
-MnO2,Electrode,CHM-APL,72
-MnO2,Electrodes,CHM-APL,63
-SO3H,Catalyst,CHM-APL,90
-SO3H,Membrane,CHM-APL,54
-SO3H,Solid Acid Catalyst,CHM-APL,30
0.5,Catalyst,CHM-APL,46
0.5,Electrode,CHM-APL,62
0.5,Electrodes,CHM-APL,38
1 M Na2SO4,Electrode,CHM-APL,86
1 M Na2SO4,Electrodes,CHM-APL,50
1 M Na2SO4,Supercapacitor,CHM-APL,37
1 MPa H2,Catalyst,CHM-APL,42
"1,1-Diphenyl-2-Picryl-Hydrazyl",Antioxidant,CHM-APL,56
"1,10-Phenantroline",Catalyst,CHM-APL,121
"1,10-Phenantroline",DNA,CHM-APL,51
"1,10-Phenantroline",Electrode,CHM-APL,59
"1,2 Propanediol",Catalyst,CHM-APL,270
"1,2 Propanediol",Glycerol Hydrogenolysis,CHM-APL,60
"1,2 Propanediol",Hydrogenolysis,CHM-APL,78
"1,2,3,4-Tetrahydroquinoline",Catalyst,CHM-APL,53
"1,2,3-Triazole",Catalyst,CHM-APL,107
"1,2,4-TMB",Catalyst,CHM-APL,30
"1,2,4-Trichlorobenzene",Catalyst,CHM-APL,32
"1,2,4-Trimethylbenzene",Catalyst,CHM-APL,47
"1,2-Diamines",Catalyst,CHM-APL,31
"1,2-Dichlorobenzene",Active Layer,CHM-APL,36
"1,2-Dichlorobenzene",Catalyst,CHM-APL,72
"1,2-Dichlorobenzene",Electrode,CHM-APL,44
"1,2-Dichlorobenzene",Solar Cell,CHM-APL,50
"1,2-Dichloroethane",Catalyst,CHM-APL,250
"1,2-Dichloroethane",Coatings,CHM-APL,37
"1,2-Dichloroethane",Electrode,CHM-APL,77
"1,2-Dichloroethane",Electrodes,CHM-APL,36
"1,2-Dichloroethane",Oxidation,CHM-APL,50
"1,2-Dimethoxyethane",Catalyst,CHM-APL,35
"1,2-Dimethoxyethane",Cathode,CHM-APL,32
"1,2-Dimethoxyethane",Electrode,CHM-APL,41
"1,2-Dimethoxyethane",Electrodes,CHM-APL,32
"1,2-Dimethoxyethane",Electrolyte,CHM-APL,100
"1,2-Diol",Catalyst,CHM-APL,55
"1,2-Epoxyhexane",Catalyst,CHM-APL,38
"1,2-PDO",Catalyst,CHM-APL,91
"1,2-PDO",Glycerol Hydrogenolysis,CHM-APL,36
"1,2-PDO",Hydrogenolysis,CHM-APL,37
"1,2-Propylene Glycol",Catalyst,CHM-APL,43
"1,3,5-Triisopropylbenzene",Catalyst,CHM-APL,57
"1,3,5-Trimethylbenzene",Catalyst,CHM-APL,32
"1,3-Butadiene","1,3-Butadiene Hydrogenation",CHM-APL,46
"1,3-Butadiene",Catalyst,CHM-APL,397
"1,3-Butadiene",Hydrogenation,CHM-APL,91
"1,3-Cyclohexadiene",Catalyst,CHM-APL,30
"1,3-Dicarbonyl",Catalyst,CHM-APL,82
"1,3-Dienes",Catalyst,CHM-APL,45
"1,3-Dioxolane",Cathode,CHM-APL,33
"1,3-Dioxolane",Cell,CHM-APL,32
"1,3-Dioxolane",Electrode,CHM-APL,34
"1,3-Dioxolane",Electrolyte,CHM-APL,88
"1,3-PDO",Catalyst,CHM-APL,51
"1,3-Propanediol",Catalyst,CHM-APL,132
"1,3-Propanediol",Glycerol Hydrogenolysis,CHM-APL,36
"1,3-Propanediol",Hydrogenolysis,CHM-APL,31
"1,4-Benzenedicarboxylate",Catalyst,CHM-APL,37
"1,4-Benzoquinone",Catalyst,CHM-APL,46
"1,4-Benzoquinone",Electrode,CHM-APL,54
"1,4-Benzoquinone",Electrodes,CHM-APL,32
"1,4-Butanediol",Catalyst,CHM-APL,128
"1,4-Dihydropyridine",Catalyst,CHM-APL,45
"1,4-Dioxane",Catalyst,CHM-APL,231
"1,4-Dioxane",Electrode,CHM-APL,38
"1,4-Dioxane",Hydrogenation,CHM-APL,35
"1,4-Dioxane",Inhibitor,CHM-APL,62
"1,4-Dioxane",Membrane,CHM-APL,32
"1,4-Disubstituted 1,2,3-Triazoles",Catalyst,CHM-APL,48
"1,4-Pentanediol",Catalyst,CHM-APL,33
"1,5-Cyclooctadiene",Catalyst,CHM-APL,129
