Subject,Object,Rel,Count
(B) 1H,Heating,CHM-SMT,34
(B) 1H,Irradiation,CHM-SMT,49
(B) C,Coated,CHM-SMT,37
(Bi0.5Na0.5)TiO3,Sintering,CHM-SMT,30
(C) 1H,Irradiation,CHM-SMT,31
(COCl)2,DIBAL-H,CHM-SMT,30
(COCl)2,Dess-Martin Periodinane,CHM-SMT,150
(NH4)2CO3,Calcination,CHM-SMT,36
(NH4)2S2O8,Oxidation,CHM-SMT,35
(NH4)2SO4,Anodization,CHM-SMT,48
(NH4)2SO4,Anodized,CHM-SMT,30
(NH4)2SO4,Coated,CHM-SMT,36
(NH4)2SO4,Electrodeposition,CHM-SMT,39
(NH4)2SO4,Electrodeposits,CHM-SMT,34
(NH4)2SO4,Fermentation,CHM-SMT,31
(NH4)2SO4,Heating,CHM-SMT,50
(NH4)2SO4,Hydrolysis,CHM-SMT,41
(NH4)2SO4,Leaching,CHM-SMT,35
-Al2O3,Calcination,CHM-SMT,73
-Al2O3,Calcined,CHM-SMT,87
-Al2O3,Heating,CHM-SMT,31
-Al2O3,Hydrogenation,CHM-SMT,48
-Al2O3,Oxidation,CHM-SMT,39
-Al2O3,Reductions,CHM-SMT,59
-COOH,Oxidation,CHM-SMT,34
-COOH,Oxidize,CHM-SMT,31
-COOH,Self Assembled,CHM-SMT,44
-SO3H,Sulfonation,CHM-SMT,42
0.4 Pa,Sputtering,CHM-SMT,47
"1,10-Phenantroline",Hydrothermal Condition,CHM-SMT,33
"1,10-Phenantroline",Hydrothermal Reaction,CHM-SMT,47
"1,10-Phenantroline",Irradiation,CHM-SMT,65
"1,10-Phenantroline",Oxidation,CHM-SMT,54
"1,2 Propanediol",Hydrogenolysis,CHM-SMT,44
"1,2,3-Triazole","1,3-Dipolar Cycloaddition",CHM-SMT,37
"1,2,3-Triazole",CUAAC,CHM-SMT,93
"1,2,3-Triazole",Click Chemistry,CHM-SMT,64
"1,2-Dichlorobenzene",Spin Coater,CHM-SMT,34
"1,2-Dichloroethane",Coated,CHM-SMT,61
"1,2-Dichloroethane",Dess-Martin Periodinane,CHM-SMT,30
"1,2-Dichloroethane",Heating,CHM-SMT,44
"1,2-Dichloroethane",Irradiation,CHM-SMT,34
"1,2-Dichloroethane",Oxidation,CHM-SMT,67
"1,2-Dichloroethane",Reductions,CHM-SMT,46
"1,2-Diol",Oxidation,CHM-SMT,36
"1,2-PDO",Hydrogenolysis,CHM-SMT,30
"1,3-Butadiene",Hydrogenation,CHM-SMT,93
"1,3-Butadiene",Oxidation,CHM-SMT,53
"1,3-Butadiene",Pyrolysis,CHM-SMT,44
"1,3-Butadiene",Reductions,CHM-SMT,39
"1,4-Benzoquinone",Oxidation,CHM-SMT,40
"1,4-Butanediol",Hydrogenation,CHM-SMT,32
"1,4-Dioxane",Cooling,CHM-SMT,49
"1,4-Dioxane",Dess-Martin Periodinane,CHM-SMT,62
"1,4-Dioxane",Heating,CHM-SMT,78
"1,4-Dioxane",Hydrogenation,CHM-SMT,40
"1,4-Dioxane",Hydrolysis,CHM-SMT,53
"1,4-Dioxane",Irradiation,CHM-SMT,83
"1,4-Dioxane",Oxidation,CHM-SMT,72
"1,4-Dioxane",Reductions,CHM-SMT,36
"1,4-Dioxane",UV Irradiation,CHM-SMT,34
"1,5-Cyclooctadiene",Hydrogenation,CHM-SMT,33
"1,8-Diazabicyclo[5.4.0]undec-7-ene",Dess-Martin Periodinane,CHM-SMT,62
1-Butanol,Calcination,CHM-SMT,45
1-Butanol,Calcined,CHM-SMT,43
1-Butanol,Coated,CHM-SMT,36
1-Butanol,Heating,CHM-SMT,41
1-Butanol,Hydrogenation,CHM-SMT,40
1-Butanol,Hydrolysis,CHM-SMT,42
1-Butanol,Oxidation,CHM-SMT,41
1-Butanol,Transesterification,CHM-SMT,37
1-Butene,Calcination,CHM-SMT,56
1-Butene,Calcined,CHM-SMT,68
1-Butene,Dehydrogenation,CHM-SMT,32
1-Butene,Heating,CHM-SMT,42
1-Butene,Hydrogenation,CHM-SMT,87
1-Butene,Oxidation,CHM-SMT,63
1-Butene,Reductions,CHM-SMT,43
1-Butyl-3-Methylimidazolium Chloride,Hydrolysis,CHM-SMT,32
1-Dodecanethiol,Coated,CHM-SMT,31
1-Dodecanethiol,Self Assembled,CHM-SMT,44
