Subject,Object,Rel,Count
(BA)2(MA)3Pb4I13,Perovskites,CHM-SPL,34
(Bi0.5Na0.5)TiO3,Perovskites,CHM-SPL,50
(Bi2O2)2+,Perovskites,CHM-SPL,30
(ClO4)2,Monoclinic,CHM-SPL,40
"(Mg,Fe)2SiO4",Olivines,CHM-SPL,30
"(Mg,Fe)SiO3 Perovskite",Perovskites,CHM-SPL,33
(NH4)2TiF6,Anatase,CHM-SPL,40
(PEA)2PbI4,Perovskites,CHM-SPL,31
"1,10-Phenantroline",Monoclinic,CHM-SPL,59
"1,10-Phenantroline",Triclinic,CHM-SPL,47
1-Butanol,Hexagonal,CHM-SPL,32
1-Octadecene,Cubic,CHM-SPL,34
100,BCC,CHM-SPL,35
100,Cubic,CHM-SPL,95
100,FCC,CHM-SPL,53
100,Hexagonal,CHM-SPL,62
100,Monoclinic,CHM-SPL,44
100,Orthorhombic,CHM-SPL,37
100,Perovskites,CHM-SPL,57
100,Tetragonal,CHM-SPL,41
1000,BCC,CHM-SPL,33
1000,Cubic,CHM-SPL,61
1000,FCC,CHM-SPL,65
1000,Hexagonal,CHM-SPL,45
1000,Tetragonal,CHM-SPL,32
119Sn,Trigonal,CHM-SPL,46
13C,Abstract,CHM-SPL,43
13C,Anatase,CHM-SPL,30
13C,Breast,CHM-SPL,89
13C,C2/C,CHM-SPL,58
13C,Colon,CHM-SPL,43
13C,Cubic,CHM-SPL,84
13C,Hexagonal,CHM-SPL,218
13C,Hydrates,CHM-SPL,41
13C,Monoclinic,CHM-SPL,324
13C,Nematic,CHM-SPL,40
13C,Orthorhombic,CHM-SPL,147
13C,P1,CHM-SPL,91
13C,P2 1/N,CHM-SPL,57
13C,P21/C,CHM-SPL,103
13C,P212121,CHM-SPL,33
13C,P21C,CHM-SPL,34
13C,S T,CHM-SPL,91
13C,T,CHM-SPL,59
13C,Tetragonal,CHM-SPL,37
13C,Triclinic,CHM-SPL,135
13C,Trigonal,CHM-SPL,90
13C,Trigonal Bipyramidal,CHM-SPL,30
16O,Chondrite,CHM-SPL,48
16O,Olivines,CHM-SPL,63
16O,Perovskites,CHM-SPL,48
16O,Pyroxene,CHM-SPL,41
16O,Spinels,CHM-SPL,56
176Lu,Chondrite,CHM-SPL,52
176Lu,Chondritic,CHM-SPL,43
176Lu,Garnet,CHM-SPL,87
176Lu,Gneiss,CHM-SPL,51
176Lu,Gneisses,CHM-SPL,37
17β-Estradiol,Breast,CHM-SPL,31
180C,Anatase,CHM-SPL,87
180C,Cubic,CHM-SPL,113
180C,Hexagonal,CHM-SPL,159
180C,Monoclinic,CHM-SPL,55
180C,Orthorhombic,CHM-SPL,58
