Subject,Object,Rel,Count
/ C ),Catalyst,CMT-APL,37
/ C ),Photocatalytic Degradation,CMT-APL,34
"1,1-Diphenyl-2-Picryl-Hydrazyl",Antioxidant,CMT-APL,31
11B NMR,Catalyst,CMT-APL,60
13C,Adsorbent,CMT-APL,33
13C,Catalyst,CMT-APL,338
13C,Coatings,CMT-APL,30
13C,Electrode,CMT-APL,54
13C,Electrodes,CMT-APL,41
13C,Electrolyte,CMT-APL,44
13C - NMR,Catalyst,CMT-APL,76
13C CP MAS,Catalyst,CMT-APL,34
13C CP MAS NMR,Catalyst,CMT-APL,305
13C MAS NMR,Catalyst,CMT-APL,175
13C NMR,Absorbent,CMT-APL,41
13C NMR,Adsorbent,CMT-APL,76
13C NMR,Anode,CMT-APL,53
13C NMR,Bio Diesel,CMT-APL,42
13C NMR,CO2,CMT-APL,41
13C NMR,CO2 Absorption,CMT-APL,62
13C NMR,CO2 Capture,CMT-APL,58
13C NMR,Cancer,CMT-APL,31
13C NMR,Catalyst,CMT-APL,1206
13C NMR,Catalytic,CMT-APL,51
13C NMR,Cathode,CMT-APL,57
13C NMR,Cell,CMT-APL,68
13C NMR,Cells,CMT-APL,59
13C NMR,Chemosensor,CMT-APL,43
13C NMR,Coatings,CMT-APL,135
13C NMR,Cocatalyst,CMT-APL,33
13C NMR,Electrode,CMT-APL,210
13C NMR,Electrodes,CMT-APL,85
13C NMR,Electrolyte,CMT-APL,129
13C NMR,Ethylene Polymerization,CMT-APL,104
13C NMR,Heterogeneous Catalyst,CMT-APL,30
13C NMR,Hydrogenation,CMT-APL,48
13C NMR,Liquids,CMT-APL,35
13C NMR,Membrane,CMT-APL,62
13C NMR,NMR,CMT-APL,36
13C NMR,Oxidation,CMT-APL,85
13C NMR,Polymerisation,CMT-APL,66
13C NMR,Reference Electrode,CMT-APL,33
13C NMR,Sensor,CMT-APL,71
13C NMR,Working Electrodes,CMT-APL,62
13C NMR Spectroscopy,Catalyst,CMT-APL,64
13C Solid State NMR,Catalyst,CMT-APL,33
13C{1H} NMR,Catalyst,CMT-APL,35
14C,Dating,CMT-APL,36
14C,Lake,CMT-APL,33
19F MAS NMR,Catalyst,CMT-APL,33
19F NMR,Anode,CMT-APL,37
19F NMR,Catalyst,CMT-APL,64
19F NMR,Cathode,CMT-APL,41
19F NMR,Cell,CMT-APL,34
19F NMR,Cells,CMT-APL,61
19F NMR,Electrode,CMT-APL,80
19F NMR,Electrodes,CMT-APL,50
19F NMR,Electrolyte,CMT-APL,126
1D,Catalyst,CMT-APL,60
1D,Cell,CMT-APL,44
1D,Coatings,CMT-APL,30
1D,Electrode,CMT-APL,54
1D,Electrodes,CMT-APL,30
1D,Solar Cell,CMT-APL,41
1H,Catalyst,CMT-APL,433
1H,Cell,CMT-APL,38
1H,Coatings,CMT-APL,35
1H,Electrode,CMT-APL,56
1H,Electrodes,CMT-APL,37
1H,Electrolyte,CMT-APL,67
1H,Ethylene Polymerization,CMT-APL,36
1H,Oxidation,CMT-APL,48
1H,Ring Opening Polymerization,CMT-APL,35
1H MAS NMR,Catalyst,CMT-APL,205
1H NMR,4t1,CMT-APL,36
1H NMR,AEM,CMT-APL,60
1H NMR,AEMS,CMT-APL,81
1H NMR,AEMs,CMT-APL,83
1H NMR,AG,CMT-APL,32
1H NMR,Active Layer,CMT-APL,85
1H NMR,Adhesive,CMT-APL,45
1H NMR,Adsorbent,CMT-APL,82
1H NMR,Anion Exchange Membrane,CMT-APL,76
1H NMR,Anion Receptor,CMT-APL,65
1H NMR,Anode,CMT-APL,194
1H NMR,Anodes,CMT-APL,44
1H NMR,Anti-Cancer,CMT-APL,69
1H NMR,Anticancer Agent,CMT-APL,44
1H NMR,Anticancer Drugs,CMT-APL,76
1H NMR,Antimicrobial Agent,CMT-APL,41
1H NMR,Antioxidant,CMT-APL,47
1H NMR,Batteries,CMT-APL,36
1H NMR,Battery,CMT-APL,64
1H NMR,Binders,CMT-APL,30
1H NMR,Bio Diesel,CMT-APL,116
1H NMR,Bio-Sensor,CMT-APL,32
1H NMR,Biodiesel Production,CMT-APL,31
1H NMR,Biomaterial,CMT-APL,70
1H NMR,Biomedical Application,CMT-APL,80
1H NMR,Breast Cancer,CMT-APL,92
1H NMR,CO2,CMT-APL,46
1H NMR,CO2 Reduction,CMT-APL,31
1H NMR,Cancer,CMT-APL,96
1H NMR,Cancer Cell,CMT-APL,39
1H NMR,Cancer Therapy,CMT-APL,35
1H NMR,Catalysis,CMT-APL,108
1H NMR,Catalyst,CMT-APL,2288
1H NMR,Catalytic,CMT-APL,95
1H NMR,Catalytic Hydrogenation,CMT-APL,33
1H NMR,Catalytic Oxidation,CMT-APL,34
1H NMR,Catalytic Reaction,CMT-APL,42
