Subject,Object,Rel,Count
(αhν)2 Versus hν,Film,CMT-DSC,54
(αhν)2 Versus hν,Films,CMT-DSC,90
(αhν)2 Versus hν,Substrate,CMT-DSC,48
(αhν)2 Versus hν,Thin Films,CMT-DSC,77
(αhν)² vs,Film,CMT-DSC,85
(αhν)² vs,Films,CMT-DSC,102
(αhν)² vs,Substrate,CMT-DSC,72
(αhν)² vs,Thin Films,CMT-DSC,102
-Law,Bulk,CMT-DSC,30
-Law,Layers,CMT-DSC,39
-Law,Particles,CMT-DSC,54
-Law,Surface,CMT-DSC,68
-Tem,Bilayer,CMT-DSC,84
-Tem,Bilayers,CMT-DSC,57
-Tem,Block Copolymer,CMT-DSC,41
-Tem,Bulk,CMT-DSC,44
-Tem,Cluster,CMT-DSC,35
-Tem,Copolymer,CMT-DSC,34
-Tem,Core,CMT-DSC,30
-Tem,Crystal,CMT-DSC,53
-Tem,Crystalline,CMT-DSC,32
-Tem,Diblock Copolymer,CMT-DSC,31
-Tem,Dispersion,CMT-DSC,47
-Tem,Film,CMT-DSC,54
-Tem,Hydrogel,CMT-DSC,35
-Tem,Lamellar,CMT-DSC,45
-Tem,Layers,CMT-DSC,58
-Tem,Liposome,CMT-DSC,75
-Tem,Membrane,CMT-DSC,88
-Tem,Micellar,CMT-DSC,47
-Tem,Micelle,CMT-DSC,35
-Tem,Micelles,CMT-DSC,150
-Tem,NPS,CMT-DSC,43
-Tem,Nanoparticle,CMT-DSC,64
-Tem,Nanoparticles,CMT-DSC,133
-Tem,Nanostructures,CMT-DSC,45
-Tem,Nanotube,CMT-DSC,45
-Tem,Particle,CMT-DSC,48
-Tem,Particles,CMT-DSC,146
-Tem,Polymersome,CMT-DSC,31
-Tem,Ribbons,CMT-DSC,42
-Tem,Shell,CMT-DSC,32
-Tem,Solution,CMT-DSC,33
-Tem,Sphere,CMT-DSC,31
-Tem,Spherical Micelle,CMT-DSC,34
-Tem,Substrate,CMT-DSC,31
-Tem,Surface,CMT-DSC,126
-Tem,Vesicle,CMT-DSC,188
-Tem,Worm-Like Micelles,CMT-DSC,47
/ C ),As Prepared,CMT-DSC,32
1-D,2-D,CMT-DSC,71
1-D,3-D,CMT-DSC,40
1-D,Interface,CMT-DSC,30
1-D,Layers,CMT-DSC,45
1-D,Surface,CMT-DSC,77
1-D Model,1D,CMT-DSC,47
1-D Model,Surface,CMT-DSC,42
10Be,Bedrock,CMT-DSC,36
10Be,Boulders,CMT-DSC,45
10Be,Surface,CMT-DSC,35
10m10m,Film,CMT-DSC,31
119Sn-NMR,Single Crystal,CMT-DSC,31
11B,Glass,CMT-DSC,69
11B,Glasses,CMT-DSC,61
