Subject,Object,Rel,Count
(αhν)2 Versus hν,Annealed,CMT-SMT,32
(αhν)² vs,Annealed,CMT-SMT,47
-Tem,Heating,CMT-SMT,57
-Tem,Self Assembly,CMT-SMT,44
-Tem,Vitrified,CMT-SMT,41
/ C ),Irradiation,CMT-SMT,32
11B,Heating,CMT-SMT,33
11B NMR,Dehydrogenation,CMT-SMT,43
11B NMR,Heating,CMT-SMT,54
11B NMR,Hydrolysis,CMT-SMT,39
13C,CP,CMT-SMT,64
13C,Calcination,CMT-SMT,30
13C,Calcined,CMT-SMT,36
13C,Cooling,CMT-SMT,42
13C,Cured,CMT-SMT,36
13C,DNP,CMT-SMT,47
13C,Dried,CMT-SMT,35
13C,Drying,CMT-SMT,30
13C,Heated,CMT-SMT,39
13C,Heating,CMT-SMT,154
13C,Hydrogenation,CMT-SMT,34
13C,Hydrolysis,CMT-SMT,107
13C,Hydrosilylation,CMT-SMT,32
13C,Irradiated,CMT-SMT,30
13C,Irradiation,CMT-SMT,68
13C,Microwave Irradiation,CMT-SMT,33
13C,Oxidation,CMT-SMT,88
13C,Pyrolysis,CMT-SMT,58
13C,Reductions,CMT-SMT,42
13C,Sol-Gel,CMT-SMT,61
13C,Thermal Treatment,CMT-SMT,36
13C - NMR,Heating,CMT-SMT,30
13C CP MAS NMR,Calcination,CMT-SMT,55
13C CP MAS NMR,Calcined,CMT-SMT,100
13C CP MAS NMR,Heated,CMT-SMT,51
13C CP MAS NMR,Heating,CMT-SMT,73
13C CP MAS NMR,Hydrolysis,CMT-SMT,42
13C CP MAS NMR,Oxidation,CMT-SMT,36
13C MAS NMR,Calcination,CMT-SMT,38
13C MAS NMR,Calcined,CMT-SMT,69
13C MAS NMR,Heating,CMT-SMT,53
13C NMR,ATRP,CMT-SMT,62
13C NMR,Acetylation,CMT-SMT,36
13C NMR,Acidic Hydrolysis,CMT-SMT,74
13C NMR,Aged,CMT-SMT,33
13C NMR,Aging,CMT-SMT,59
13C NMR,Alkylation,CMT-SMT,33
13C NMR,Annealed,CMT-SMT,64
13C NMR,Annealing,CMT-SMT,78
13C NMR,CP,CMT-SMT,30
13C NMR,Calcination,CMT-SMT,64
13C NMR,Calcined,CMT-SMT,89
13C NMR,Coated,CMT-SMT,149
13C NMR,Cooling,CMT-SMT,183
13C NMR,Copolymerization,CMT-SMT,33
13C NMR,Cross-Linking,CMT-SMT,52
13C NMR,Crosslinked,CMT-SMT,55
13C NMR,Cured,CMT-SMT,158
13C NMR,Curing,CMT-SMT,120
13C NMR,Degradation,CMT-SMT,31
13C NMR,Dehydration,CMT-SMT,45
13C NMR,Dissolution,CMT-SMT,44
13C NMR,Dried,CMT-SMT,75
13C NMR,Drying,CMT-SMT,36
13C NMR,Enzymatic Hydrolysis,CMT-SMT,57
13C NMR,Epoxidation,CMT-SMT,50
13C NMR,Epoxidized,CMT-SMT,37
13C NMR,Esterification,CMT-SMT,49
13C NMR,Extraction,CMT-SMT,31
13C NMR,Free Radical Polymerization,CMT-SMT,54
13C NMR,Freeze-Dried,CMT-SMT,30
13C NMR,Heat Treated,CMT-SMT,32
13C NMR,Heat Treatment,CMT-SMT,54
13C NMR,Heated,CMT-SMT,139
13C NMR,Heating,CMT-SMT,501
13C NMR,Hydrogenated,CMT-SMT,34
13C NMR,Hydrogenation,CMT-SMT,108
13C NMR,Hydrolysed,CMT-SMT,69
13C NMR,Hydrolysis,CMT-SMT,387
13C NMR,Hydrolytic Degradation,CMT-SMT,34
13C NMR,Hydrosilylation,CMT-SMT,32
13C NMR,Hydrothermal Treatment,CMT-SMT,38
13C NMR,Irradiated,CMT-SMT,80
13C NMR,Irradiation,CMT-SMT,218
13C NMR,Methylation,CMT-SMT,34
13C NMR,Microwave Irradiation,CMT-SMT,93
13C NMR,Oxidation,CMT-SMT,320
13C NMR,Oxidize,CMT-SMT,95
13C NMR,Photolysis,CMT-SMT,51
13C NMR,Polycondensation,CMT-SMT,44
13C NMR,Polymerisation,CMT-SMT,85
13C NMR,Pyrolysis,CMT-SMT,239
13C NMR,Pyrolyzed,CMT-SMT,41
13C NMR,ROP,CMT-SMT,67
13C NMR,Radical Polymerization,CMT-SMT,36
13C NMR,Reaction,CMT-SMT,54
13C NMR,Reductions,CMT-SMT,132
13C NMR,Ring Opening Polymerization,CMT-SMT,92
13C NMR,Self Assembly,CMT-SMT,38
13C NMR,Sol-Gel,CMT-SMT,62
13C NMR,Sonication,CMT-SMT,33
13C NMR,Sulfonated,CMT-SMT,34
13C NMR,Sulfonation,CMT-SMT,43
13C NMR,Thermal,CMT-SMT,40
13C NMR,Thermal Decomposition,CMT-SMT,68
13C NMR,Thermal Degradation,CMT-SMT,53
13C NMR,Thermal Treatment,CMT-SMT,61
13C NMR,Thermolysis,CMT-SMT,36
13C NMR,Transesterification,CMT-SMT,56
13C NMR,UV Irradiation,CMT-SMT,82
19F MAS NMR,Calcined,CMT-SMT,39
19F NMR,Cooling,CMT-SMT,31
19F NMR,Fluorination,CMT-SMT,48
19F NMR,Heating,CMT-SMT,60
19F NMR,Hydrolysis,CMT-SMT,48
19F NMR,Irradiation,CMT-SMT,40
19F NMR,Oxidation,CMT-SMT,43
19F NMR,Reductions,CMT-SMT,33
1D,Annealed,CMT-SMT,55
1D,Annealing,CMT-SMT,58
1D,Coated,CMT-SMT,31
1D,Cooling,CMT-SMT,75
1D,Heating,CMT-SMT,80
1D,Irradiation,CMT-SMT,48
1D WAXD,Cooling,CMT-SMT,37
1D WAXD,Heating,CMT-SMT,34
1H,Acidic Hydrolysis,CMT-SMT,44
1H,Cooling,CMT-SMT,39
1H,Heated,CMT-SMT,45
1H,Heating,CMT-SMT,171
1H,Hydrogenation,CMT-SMT,39
1H,Hydrolysis,CMT-SMT,193
1H,Irradiated,CMT-SMT,33
1H,Irradiation,CMT-SMT,71
1H,Metathesis Reaction,CMT-SMT,31
1H,Microwave Irradiation,CMT-SMT,37
1H,Oxidation,CMT-SMT,146
1H,Pyrolysis,CMT-SMT,49
1H,Reaction,CMT-SMT,32
