Subject,Object,Rel,Count
-Tem,Cubic,CMT-SPL,33
-Tem,Hexagonal,CMT-SPL,55
13C,Cubic,CMT-SPL,33
13C,Hexagonal,CMT-SPL,73
13C,Monoclinic,CMT-SPL,96
13C,Orthorhombic,CMT-SPL,56
13C,P1,CMT-SPL,45
13C,Triclinic,CMT-SPL,48
13C,Trigonal,CMT-SPL,52
13C CP MAS NMR,Hexagonal,CMT-SPL,46
13C NMR,Breast,CMT-SPL,53
13C NMR,C2/C,CMT-SPL,37
13C NMR,Cubic,CMT-SPL,36
13C NMR,Hexagonal,CMT-SPL,71
13C NMR,Hydrates,CMT-SPL,31
13C NMR,Monoclinic,CMT-SPL,203
13C NMR,Nematic,CMT-SPL,33
13C NMR,Orthorhombic,CMT-SPL,81
13C NMR,P1,CMT-SPL,44
13C NMR,P2 1/N,CMT-SPL,32
13C NMR,P21/C,CMT-SPL,62
13C NMR,S T,CMT-SPL,59
13C NMR,T,CMT-SPL,39
13C NMR,Triclinic,CMT-SPL,79
13C NMR,Trigonal,CMT-SPL,32
1D,Hexagonal,CMT-SPL,44
1H,Abstract,CMT-SPL,31
1H,Breast,CMT-SPL,47
1H,C2/C,CMT-SPL,46
1H,Colon,CMT-SPL,33
1H,Cubic,CMT-SPL,35
1H,Hexagonal,CMT-SPL,52
1H,Monoclinic,CMT-SPL,219
1H,Orthorhombic,CMT-SPL,82
1H,P1,CMT-SPL,76
1H,P2 1/N,CMT-SPL,38
1H,P21/C,CMT-SPL,56
1H,P21C,CMT-SPL,37
1H,S T,CMT-SPL,54
1H,Triclinic,CMT-SPL,98
1H,Trigonal,CMT-SPL,80
1H NMR,Abstract,CMT-SPL,63
1H NMR,Anatase,CMT-SPL,39
1H NMR,Breast,CMT-SPL,77
1H NMR,C2/C,CMT-SPL,49
1H NMR,Colon,CMT-SPL,33
1H NMR,Cubic,CMT-SPL,130
1H NMR,Hexagonal,CMT-SPL,188
1H NMR,Lung,CMT-SPL,34
1H NMR,Monoclinic,CMT-SPL,262
1H NMR,Nematic,CMT-SPL,48
1H NMR,Orthorhombic,CMT-SPL,108
1H NMR,Ovarian,CMT-SPL,45
1H NMR,P1,CMT-SPL,95
1H NMR,P2 1/N,CMT-SPL,36
1H NMR,P21/C,CMT-SPL,67
1H NMR,P212121,CMT-SPL,30
1H NMR,P21C,CMT-SPL,36
1H NMR,Perovskites,CMT-SPL,64
1H NMR,S T,CMT-SPL,98
1H NMR,T,CMT-SPL,73
1H NMR,Tetragonal,CMT-SPL,46
1H NMR,Triclinic,CMT-SPL,139
1H NMR,Trigonal,CMT-SPL,73
1H NMR Spectroscopy,Monoclinic,CMT-SPL,31
1s XPS,Anatase,CMT-SPL,38
2-D,Hexagonal,CMT-SPL,32
27Al MAS NMR,Hexagonal,CMT-SPL,37
29Si,Hexagonal,CMT-SPL,39
29Si MAS-NMR,Hexagonal,CMT-SPL,74
29Si NMR,Hexagonal,CMT-SPL,53
2D,Cubic,CMT-SPL,97
2D,FCC,CMT-SPL,54
2D,Hexagonal,CMT-SPL,203
2D,Monoclinic,CMT-SPL,42
2D,Nematic,CMT-SPL,33
2D,Orthorhombic,CMT-SPL,49
2D,Perovskites,CMT-SPL,157
2D,Tetragonal,CMT-SPL,33
2H NMR,Hexagonal,CMT-SPL,52
2PXPS,Anatase,CMT-SPL,72
2PXPS,Cubic,CMT-SPL,35
2PXPS,Hexagonal,CMT-SPL,35
2PXPS,Rutile,CMT-SPL,42
2p,Anatase,CMT-SPL,254
2p,Cubic,CMT-SPL,123
2p,FCC,CMT-SPL,43
2p,Graphitic,CMT-SPL,31
2p,Hexagonal,CMT-SPL,132
2p,Monoclinic,CMT-SPL,61
2p,Orthorhombic,CMT-SPL,44
2p,Perovskites,CMT-SPL,98
2p,Rutile,CMT-SPL,154
2p,Spinels,CMT-SPL,108
2p,Tetragonal,CMT-SPL,53
3-D,Hexagonal,CMT-SPL,30
31P,Hexagonal,CMT-SPL,30
31P,Monoclinic,CMT-SPL,42
