Subject,Object,Rel,Count
- Layer,Doublers,DSC-APL,38
- Layer,Electrode,DSC-APL,31
1-D,Anode,DSC-APL,37
1-D,Catalyst,DSC-APL,91
1-D,Cell,DSC-APL,34
1-D,Coatings,DSC-APL,33
1-D,Electrode,DSC-APL,81
1-D,Electrodes,DSC-APL,60
1-D,Electrolyte,DSC-APL,41
1-D,Sensor,DSC-APL,36
1-D,Solar Cell,DSC-APL,35
1D,3D,DSC-APL,36
1D,Active Layer,DSC-APL,39
1D,Adsorbent,DSC-APL,36
1D,Anode,DSC-APL,338
1D,Anodes,DSC-APL,102
1D,Batteries,DSC-APL,61
1D,Battery,DSC-APL,64
1D,Bio-Sensor,DSC-APL,43
1D,CP,DSC-APL,35
1D,Catalysis,DSC-APL,125
1D,Catalyst,DSC-APL,592
1D,Catalytic,DSC-APL,39
1D,Cathode,DSC-APL,236
1D,Cathodes,DSC-APL,56
1D,Cavity,DSC-APL,33
1D,Cell,DSC-APL,169
1D,Cells,DSC-APL,92
1D,Channels,DSC-APL,71
1D,Circuit,DSC-APL,35
1D,Co-Catalysts,DSC-APL,34
1D,Coatings,DSC-APL,165
1D,Cocatalyst,DSC-APL,31
1D,Contacts,DSC-APL,97
1D,Coordination Polymer,DSC-APL,32
1D,Counter Electrode,DSC-APL,60
1D,Crystal,DSC-APL,34
1D,Current Collector,DSC-APL,42
1D,DSSCS,DSC-APL,70
1D,Degradation,DSC-APL,39
1D,Detection,DSC-APL,49
1D,Detector,DSC-APL,44
1D,Device,DSC-APL,90
1D,Displays,DSC-APL,30
1D,Drug Delivery,DSC-APL,37
1D,Dssc,DSC-APL,57
1D,Dye-Sensitized Solar Cells,DSC-APL,78
1D,Electrocatalyst,DSC-APL,119
1D,Electrode,DSC-APL,745
1D,Electrodes,DSC-APL,500
1D,Electrolyte,DSC-APL,211
1D,Electronic,DSC-APL,44
1D,Electronic Devices,DSC-APL,45
1D,Electronics,DSC-APL,62
1D,Emitters,DSC-APL,34
1D,Energy Conversion,DSC-APL,36
1D,Energy Storage,DSC-APL,77
1D,Energy Storage Device,DSC-APL,45
1D,FET,DSC-APL,35
1D,FETS,DSC-APL,43
1D,Field Effect Transistor,DSC-APL,57
1D,Filler,DSC-APL,37
1D,Filters,DSC-APL,46
1D,Flexible,DSC-APL,89
1D,Framework,DSC-APL,38
1D,Fuel Cell,DSC-APL,59
1D,Gas Sensors,DSC-APL,63
1D,Gate,DSC-APL,32
1D,Grating,DSC-APL,63
1D,Heterojunction,DSC-APL,86
1D,Hybrid,DSC-APL,37
1D,Hydrogen Evolution Reaction,DSC-APL,41
1D,Hydrogen Production,DSC-APL,33
1D,Junctions,DSC-APL,72
1D,LED,DSC-APL,68
1D,LEDs,DSC-APL,57
1D,LIBs,DSC-APL,124
1D,Laser,DSC-APL,73
1D,Layers,DSC-APL,58
1D,Li-Ion Battery,DSC-APL,69
1D,Light Emitting Diodes,DSC-APL,42
1D,Lithium Ion Battery,DSC-APL,162
1D,Lithium-Ion Batteries,DSC-APL,69
1D,MOFs,DSC-APL,99
1D,Membrane,DSC-APL,37
1D,Metal Organic Framework,DSC-APL,56
1D,Metamaterial,DSC-APL,44
1D,Mirrors,DSC-APL,41
1D,Mof,DSC-APL,86
1D,Nanodevice,DSC-APL,37
1D,Nanoelectronics,DSC-APL,37
1D,Nanotechnology,DSC-APL,50
1D,Negative Electrode,DSC-APL,32
1D,OER,DSC-APL,69
1D,ORR,DSC-APL,76
1D,Optical,DSC-APL,35
1D,Optical Lattice,DSC-APL,34
1D,Optoelectronic Application,DSC-APL,47
1D,Optoelectronic Device,DSC-APL,95
1D,Optoelectronics,DSC-APL,73
1D,Organic Framework,DSC-APL,79
1D,Oxidation,DSC-APL,63
1D,Oxygen Evolution Reaction,DSC-APL,45
1D,Oxygen Reduction Reaction,DSC-APL,55
1D,PC,DSC-APL,63
1D,PCs,DSC-APL,32
1D,PSCS,DSC-APL,49
1D,Photoanode,DSC-APL,123
1D,Photocatalysis,DSC-APL,81
