Subject,Object,Rel,Count
- Layer,SEM,DSC-CMT,41
- Layer,TEM,DSC-CMT,30
0D,SEM,DSC-CMT,33
0D,TEM,DSC-CMT,32
1-D,2-D,DSC-CMT,71
1-D,3-D,DSC-CMT,60
1-D,AFM,DSC-CMT,51
1-D,Absorption Spectrum,DSC-CMT,39
1-D,Crystal,DSC-CMT,30
1-D,Crystal Data,DSC-CMT,60
1-D,Cyclic Voltammogram,DSC-CMT,54
1-D,DFT,DSC-CMT,45
1-D,DSC,DSC-CMT,30
1-D,EDS,DSC-CMT,35
1-D,Elemental Analysis,DSC-CMT,105
1-D,Emission Spectra,DSC-CMT,88
1-D,FESEM,DSC-CMT,42
1-D,FT-IR,DSC-CMT,32
1-D,Fluorescence,DSC-CMT,35
1-D,HRTEM,DSC-CMT,84
1-D,Ir,DSC-CMT,114
1-D,Models,DSC-CMT,42
1-D,ORTEP,DSC-CMT,39
1-D,Of Chemistry,DSC-CMT,31
1-D,PXRD,DSC-CMT,77
1-D,Photo Luminescence,DSC-CMT,75
1-D,Raman,DSC-CMT,45
1-D,SAED,DSC-CMT,47
1-D,SEM,DSC-CMT,193
1-D,Scanning Electron Microscopy,DSC-CMT,37
1-D,Single Crystal,DSC-CMT,43
1-D,Single Crystal X-Ray Diffraction,DSC-CMT,61
1-D,Society,DSC-CMT,45
1-D,Structure Refinement,DSC-CMT,138
1-D,TEM,DSC-CMT,198
1-D,TG,DSC-CMT,47
1-D,Tga,DSC-CMT,56
1-D,Thermal Ellipsoids,DSC-CMT,41
1-D,Thermogravimetric Analysis,DSC-CMT,42
1-D,Transmission Electron Microscopy,DSC-CMT,36
1-D,UV Vis,DSC-CMT,52
1-D,UV Vis Absorption,DSC-CMT,34
1-D,X-Ray Crystallography,DSC-CMT,45
1-D,X-Ray Diffraction,DSC-CMT,225
1-D,XPS,DSC-CMT,65
1-D,XRD,DSC-CMT,182
1D,1-D Model,DSC-CMT,47
1D,13C,DSC-CMT,42
1D,13C NMR,DSC-CMT,45
1D,1H,DSC-CMT,73
1D,1H NMR,DSC-CMT,172
1D,2D,DSC-CMT,195
1D,2p,DSC-CMT,38
1D,3D,DSC-CMT,179
1D,3D Models,DSC-CMT,36
1D,AFM,DSC-CMT,396
1D,Ab Initio Calculations,DSC-CMT,31
1D,Absorption,DSC-CMT,137
1D,Absorption Spectrum,DSC-CMT,253
1D,Adsorption,DSC-CMT,39
1D,Adsorption Isotherm,DSC-CMT,59
1D,Analysis,DSC-CMT,34
1D,Arrhenius Plot,DSC-CMT,68
1D,Atomic Force Microscopy,DSC-CMT,111
1D,B3LYP,DSC-CMT,58
1D,BET,DSC-CMT,38
1D,Ball and Stick Representation,DSC-CMT,82
1D,Ball-and-Stick Model,DSC-CMT,45
1D,C-V Curve,DSC-CMT,71
1D,CIE Chromaticity Diagram,DSC-CMT,30
1D,CO2 Adsorption Isotherm,DSC-CMT,39
1D,CV,DSC-CMT,173
1D,CVS,DSC-CMT,44
1D,Chemical Society,DSC-CMT,208
1D,Chemistry,DSC-CMT,40
1D,Cross Sectional SEM,DSC-CMT,122
1D,Crystal,DSC-CMT,139
1D,Crystal Data,DSC-CMT,394
1D,Crystal Structure,DSC-CMT,45
1D,Crystallography,DSC-CMT,97
1D,Curie Weiss Law,DSC-CMT,44
1D,Curves,DSC-CMT,119
1D,Cyclic Voltammetry,DSC-CMT,155
1D,Cyclic Voltammogram,DSC-CMT,247
1D,DFT,DSC-CMT,283
1D,DFT Calculations,DSC-CMT,110
1D,DSC,DSC-CMT,173
1D,DTA,DSC-CMT,40
1D,Density Functional Theory,DSC-CMT,170
1D,Density-Functional Theory Calculations,DSC-CMT,51
