Subject,Object,Rel,Count
1-D,Annealing,DSC-SMT,36
1-D,Coated,DSC-SMT,41
1-D,Cooling,DSC-SMT,33
1-D,Heating,DSC-SMT,66
1-D,Hydrothermal,DSC-SMT,50
1-D,Irradiation,DSC-SMT,39
1-D,Self Assembly,DSC-SMT,41
1D,Aging,DSC-SMT,42
1D,Ald,DSC-SMT,43
1D,Annealed,DSC-SMT,112
1D,Annealing,DSC-SMT,234
1D,Assembly,DSC-SMT,32
1D,CVD,DSC-SMT,122
1D,Calcination,DSC-SMT,147
1D,Calcined,DSC-SMT,49
1D,Carbonization,DSC-SMT,39
1D,Chemical Vapour Deposition,DSC-SMT,87
1D,Coated,DSC-SMT,236
1D,Coatings,DSC-SMT,78
1D,Cooling,DSC-SMT,156
1D,Dehydration,DSC-SMT,45
1D,Desolvated,DSC-SMT,41
1D,Doping,DSC-SMT,114
1D,Dried,DSC-SMT,38
1D,Drying,DSC-SMT,48
1D,Electrodeposition,DSC-SMT,56
1D,Electrospinning,DSC-SMT,137
1D,Electrospinning Technique,DSC-SMT,38
1D,Electrospun,DSC-SMT,83
1D,Etched,DSC-SMT,44
1D,Etching,DSC-SMT,74
1D,Grinding,DSC-SMT,33
1D,Heat Treatment,DSC-SMT,89
1D,Heated,DSC-SMT,105
1D,Heating,DSC-SMT,314
1D,Hydrolysis,DSC-SMT,61
1D,Hydrothermal,DSC-SMT,210
1D,Hydrothermal Condition,DSC-SMT,270
1D,Hydrothermal Method,DSC-SMT,157
1D,Hydrothermal Process,DSC-SMT,49
1D,Hydrothermal Reaction,DSC-SMT,177
1D,Hydrothermal Synthesis,DSC-SMT,65
1D,Hydrothermal Treatment,DSC-SMT,55
1D,Irradiated,DSC-SMT,73
1D,Irradiation,DSC-SMT,180
1D,Light Irradiation,DSC-SMT,30
1D,Lithiation,DSC-SMT,37
1D,Oxidation,DSC-SMT,157
1D,Oxidize,DSC-SMT,48
1D,Patterning,DSC-SMT,36
1D,Pyrolysis,DSC-SMT,65
1D,Reductions,DSC-SMT,78
1D,Self,DSC-SMT,49
1D,Self Assembled,DSC-SMT,53
1D,Self Assembly,DSC-SMT,327
1D,Sintering,DSC-SMT,32
1D,Sol-Gel,DSC-SMT,49
1D,Solid State Reaction,DSC-SMT,31
1D,Solvothermal,DSC-SMT,85
1D,Solvothermal Condition,DSC-SMT,93
1D,Solvothermal Method,DSC-SMT,55
1D,Solvothermal Reaction,DSC-SMT,101
1D,Spin Coater,DSC-SMT,47
1D,Spin Coating,DSC-SMT,56
1D,Thermal Annealing,DSC-SMT,57
1D,Thermal Decomposition,DSC-SMT,44
1D,Thermal Treatment,DSC-SMT,59
1D,UV Irradiation,DSC-SMT,94
1D,VLS,DSC-SMT,37
1D Chains,Cooling,DSC-SMT,32
1D Chains,Heating,DSC-SMT,69
1D Chains,Hydrothermal,DSC-SMT,62
1D Chains,Hydrothermal Condition,DSC-SMT,66
1D Chains,Hydrothermal Reaction,DSC-SMT,53
1D Chains,Irradiation,DSC-SMT,48
1D Chains,Self Assembly,DSC-SMT,42
1D Chains,UV Irradiation,DSC-SMT,35
1D Nanostructure,Coated,DSC-SMT,31
1D Nanostructure,Electrospinning,DSC-SMT,35
2-D,Annealing,DSC-SMT,51
2-D,CVD,DSC-SMT,31
2-D,Coated,DSC-SMT,60
2-D,Cooling,DSC-SMT,60
2-D,Heating,DSC-SMT,69
2-D,Hydrothermal,DSC-SMT,53
2-D,Hydrothermal Condition,DSC-SMT,42
2-D,Irradiation,DSC-SMT,31
2-D,Oxidation,DSC-SMT,31
2-D,Self Assembly,DSC-SMT,54
2D,3D,DSC-SMT,90
2D,3D Printed,DSC-SMT,84
2D,3D Printing,DSC-SMT,97
2D,Aged,DSC-SMT,87
2D,Aging,DSC-SMT,123
2D,Ald,DSC-SMT,110
2D,Alloying,DSC-SMT,83
2D,Annealed,DSC-SMT,424
2D,Annealing,DSC-SMT,789
2D,Anodization,DSC-SMT,37
2D,Anodized,DSC-SMT,30
2D,Assembled,DSC-SMT,30
2D,Assembly,DSC-SMT,59
2D,Atomic Layer Deposition,DSC-SMT,67
2D,Ball Milling,DSC-SMT,49
2D,Bending,DSC-SMT,34
2D,CVD,DSC-SMT,679
2D,CVD-Grown,DSC-SMT,30
2D,Calcination,DSC-SMT,224
2D,Calcined,DSC-SMT,144
2D,Carbonization,DSC-SMT,98
2D,Carbonize,DSC-SMT,47
2D,Cast,DSC-SMT,39
2D,Centrifugation,DSC-SMT,71
2D,Chemical Doping,DSC-SMT,52
2D,Chemical Etching,DSC-SMT,46
2D,Chemical Exfoliation,DSC-SMT,36
2D,Chemical Reduction,DSC-SMT,44
2D,Chemical Vapour Deposition,DSC-SMT,505
2D,Chemically Exfoliated,DSC-SMT,39
2D,Coated,DSC-SMT,801
2D,Coatings,DSC-SMT,224
2D,Compressional,DSC-SMT,36
2D,Cooled,DSC-SMT,64
2D,Cooling,DSC-SMT,460
2D,Cross-Linking,DSC-SMT,68
2D,Crosslinked,DSC-SMT,65
2D,Crystallization,DSC-SMT,42
2D,Cured,DSC-SMT,34
2D,Curing,DSC-SMT,51
2D,Cutting,DSC-SMT,71
2D,Deformations,DSC-SMT,55
2D,Dehydrated,DSC-SMT,40
2D,Dehydration,DSC-SMT,76
2D,Delaminated,DSC-SMT,50
2D,Delamination,DSC-SMT,62
2D,Delithiation,DSC-SMT,33
2D,Densification,DSC-SMT,30
2D,Desolvated,DSC-SMT,39
2D,Dewetting,DSC-SMT,31
2D,Dip Coating,DSC-SMT,75
2D,Dissolution,DSC-SMT,89
2D,Doping,DSC-SMT,404
2D,Dried,DSC-SMT,114
2D,Drop Cast,DSC-SMT,30
2D,Drop Casting,DSC-SMT,72
2D,Drying,DSC-SMT,182
