Subject,Object,Rel,Count
1-D,Cubic,DSC-SPL,39
1-D,Hexagonal,DSC-SPL,90
1-D,Monoclinic,DSC-SPL,70
1-D,Triclinic,DSC-SPL,32
1D,Abstract,DSC-SPL,61
1D,Anatase,DSC-SPL,111
1D,C2/C,DSC-SPL,52
1D,Cubic,DSC-SPL,195
1D,Dia,DSC-SPL,31
1D,Diamondoid,DSC-SPL,63
1D,Diamonds,DSC-SPL,44
1D,FCC,DSC-SPL,50
1D,Hexagonal,DSC-SPL,541
1D,Keggin,DSC-SPL,45
1D,Monoclinic,DSC-SPL,231
1D,Orthorhombic,DSC-SPL,145
1D,P,DSC-SPL,32
1D,P1,DSC-SPL,45
1D,P21/C,DSC-SPL,51
1D,P212121,DSC-SPL,31
1D,PCU,DSC-SPL,60
1D,Perovskites,DSC-SPL,268
1D,Rhombohedral,DSC-SPL,31
1D,Rutile,DSC-SPL,104
1D,Spinels,DSC-SPL,43
1D,Sql,DSC-SPL,53
1D,T,DSC-SPL,54
1D,Tetragonal,DSC-SPL,108
1D,Triclinic,DSC-SPL,93
1D,Trigonal,DSC-SPL,76
1D,Wurtzite,DSC-SPL,74
1D Chains,Cubic,DSC-SPL,32
1D Chains,Diamondoid,DSC-SPL,33
1D Chains,Hexagonal,DSC-SPL,80
1D Chains,Keggin,DSC-SPL,34
1D Chains,Monoclinic,DSC-SPL,62
1D Chains,Orthorhombic,DSC-SPL,31
1D Chains,PCU,DSC-SPL,31
1D Chains,Perovskites,DSC-SPL,32
1D Chains,Sql,DSC-SPL,31
1D Chains,Triclinic,DSC-SPL,36
1D Nanostructure,Hexagonal,DSC-SPL,35
2-D,Cubic,DSC-SPL,74
2-D,Hexagonal,DSC-SPL,290
2-D,Monoclinic,DSC-SPL,58
2-D,Orthorhombic,DSC-SPL,34
2-Dimensional,Hexagonal,DSC-SPL,40
2D,1T,DSC-SPL,236
2D,2H,DSC-SPL,188
2D,3D,DSC-SPL,116
2D,44-SQL,DSC-SPL,39
2D,Abstract,DSC-SPL,96
2D,Anatase,DSC-SPL,171
2D,BCC,DSC-SPL,96
2D,BSTRAct,DSC-SPL,32
2D,Body Centred Cubic,DSC-SPL,48
2D,C2/C,DSC-SPL,57
2D,CP,DSC-SPL,31
2D,Cubic,DSC-SPL,674
2D,Dia,DSC-SPL,42
2D,Diamondoid,DSC-SPL,96
2D,Diamonds,DSC-SPL,67
2D,Double Perovskite,DSC-SPL,48
2D,F,DSC-SPL,51
2D,FCC,DSC-SPL,247
2D,Face Centered Cubic,DSC-SPL,72
2D,G,DSC-SPL,61
2D,Graphitic,DSC-SPL,92
2D,HCP,DSC-SPL,148
2D,Hcb,DSC-SPL,36
2D,Hexagonal,DSC-SPL,2781
2D,Hexagonally,DSC-SPL,83
2D,Honeycomb,DSC-SPL,94
2D,Hybrid,DSC-SPL,57
2D,Icosahedral,DSC-SPL,35
2D,Kagome,DSC-SPL,66
2D,Keggin,DSC-SPL,56
2D,Like,DSC-SPL,38
2D,Martensite,DSC-SPL,36
2D,Monoclinic,DSC-SPL,337
2D,Nematic,DSC-SPL,55
2D,Organic,DSC-SPL,89
2D,Orthorhombic,DSC-SPL,322
2D,P,DSC-SPL,54
2D,P1,DSC-SPL,65
2D,P21/C,DSC-SPL,68
2D,P6MM,DSC-SPL,63
2D,PCU,DSC-SPL,100
2D,Pentagonal,DSC-SPL,35
2D,Perovskites,DSC-SPL,1305
2D,RP,DSC-SPL,59
2D,Rectangular,DSC-SPL,39
2D,Rhombic,DSC-SPL,44
2D,Rhombohedral,DSC-SPL,107
2D,Rock Salt,DSC-SPL,31
2D,Ruddlesden Popper,DSC-SPL,127
2D,Rutile,DSC-SPL,110
2D,S T,DSC-SPL,52
2D,Schlafli,DSC-SPL,47
2D,Smectic,DSC-SPL,34
2D,Spinels,DSC-SPL,70
2D,Sql,DSC-SPL,123
2D,Square,DSC-SPL,62
2D,T,DSC-SPL,98
2D,Tetragonal,DSC-SPL,338
2D,Triangular,DSC-SPL,71
2D,Triclinic,DSC-SPL,136
2D,Trigonal,DSC-SPL,146
2D,Wurtzite,DSC-SPL,83
2D,Zinc Blende,DSC-SPL,42
2D,β,DSC-SPL,54
2D Array,Hexagonal,DSC-SPL,35
2D Crystal,Hexagonal,DSC-SPL,68
2D Layer,Diamondoid,DSC-SPL,34
2D Layer,Hexagonal,DSC-SPL,114
2D Layer,Monoclinic,DSC-SPL,39
2D Layer,PCU,DSC-SPL,33
2D Layer,Perovskites,DSC-SPL,34
2D Layer,Sql,DSC-SPL,47
2D Layered,Hexagonal,DSC-SPL,66
2D Layered,Perovskites,DSC-SPL,105
2D Nanosheet,Hexagonal,DSC-SPL,38
2D Sheet,Hexagonal,DSC-SPL,60
3,Hexagonal,DSC-SPL,34
3,Perovskites,DSC-SPL,32
3-D,Cubic,DSC-SPL,137
3-D,Diamondoid,DSC-SPL,33
3-D,FCC,DSC-SPL,53
3-D,Hexagonal,DSC-SPL,186
3-D,Monoclinic,DSC-SPL,86
3-D,Orthorhombic,DSC-SPL,44
3-D,Perovskites,DSC-SPL,44
3-D,Tetragonal,DSC-SPL,58
3-D,Triclinic,DSC-SPL,39
3D,1T,DSC-SPL,59
3D,2D,DSC-SPL,31
3D,2H,DSC-SPL,48
3D,44-SQL,DSC-SPL,36
3D,Abstract,DSC-SPL,160
3D,Anatase,DSC-SPL,239
3D,Austenite,DSC-SPL,37
3D,BCC,DSC-SPL,119
3D,BSTRAct,DSC-SPL,41
3D,Body Centred Cubic,DSC-SPL,65
3D,Breast,DSC-SPL,60
3D,C2/C,DSC-SPL,91
3D,Cubic,DSC-SPL,918
3D,Cubic Perovskites,DSC-SPL,32
3D,Dia,DSC-SPL,73
3D,Diamondoid,DSC-SPL,160
3D,Diamonds,DSC-SPL,93
3D,Double Perovskite,DSC-SPL,36
3D,F,DSC-SPL,67
3D,FCC,DSC-SPL,265
3D,Face Centered Cubic,DSC-SPL,102
3D,G,DSC-SPL,53
3D,Garnet,DSC-SPL,60
3D,Graphitic,DSC-SPL,78
3D,HCP,DSC-SPL,113
3D,Hexagonal,DSC-SPL,1293
3D,Hexagonally,DSC-SPL,47
3D,Hybrid,DSC-SPL,39
3D,Icosahedral,DSC-SPL,47
3D,Keggin,DSC-SPL,65
3D,Like,DSC-SPL,45
3D,Martensite,DSC-SPL,37
3D,Mesenchymal,DSC-SPL,44
3D,Monoclinic,DSC-SPL,395
3D,Nematic,DSC-SPL,30
3D,Organic,DSC-SPL,49
3D,Orthorhombic,DSC-SPL,290
3D,Osteoblasts,DSC-SPL,31
3D,P,DSC-SPL,73
3D,P1,DSC-SPL,62
3D,P2 1/N,DSC-SPL,52
3D,P21,DSC-SPL,32
3D,P21/C,DSC-SPL,93
3D,PCU,DSC-SPL,142
3D,PTS,DSC-SPL,48
3D,Perovskites,DSC-SPL,896
3D,R A C T,DSC-SPL,41
3D,RP,DSC-SPL,44
3D,Rhombohedral,DSC-SPL,90
3D,Ruddlesden Popper,DSC-SPL,75
3D,Rutile,DSC-SPL,187
3D,S T,DSC-SPL,95
3D,Schlafli,DSC-SPL,54
3D,Spinels,DSC-SPL,139
3D,Sql,DSC-SPL,108
3D,T,DSC-SPL,157
3D,Tetragonal,DSC-SPL,289
3D,Triclinic,DSC-SPL,138
3D,Trigonal,DSC-SPL,125
3D,Wurtzite,DSC-SPL,69
3D,Zinc Blende,DSC-SPL,36
3D,α-Po,DSC-SPL,31
3D,β,DSC-SPL,44
3D Porous,Hexagonal,DSC-SPL,47
3DOM,Perovskites,DSC-SPL,39
Abyssal,Clinopyroxenes,DSC-SPL,35
Abyssal,Olivines,DSC-SPL,41
Abyssal,Spinels,DSC-SPL,51
Adlayer,FCC,DSC-SPL,35
Adlayer,Hexagonal,DSC-SPL,110
Aerogel,Anatase,DSC-SPL,88
Aerogel,Cubic,DSC-SPL,59
Aerogel,Hexagonal,DSC-SPL,55
Aerogel,Rutile,DSC-SPL,30
Aerogel,Spinels,DSC-SPL,32
Aerogels,Anatase,DSC-SPL,61
Aerogels,Cubic,DSC-SPL,35
Aerogels,Hexagonal,DSC-SPL,48
Agglomerate,Anatase,DSC-SPL,64
Agglomerate,Cubic,DSC-SPL,66
Agglomerate,Hexagonal,DSC-SPL,58
Agglomerate,Rutile,DSC-SPL,46
Agglomerate,Tetragonal,DSC-SPL,37
Aggregate,Cubic,DSC-SPL,35
Aggregate,Garnet,DSC-SPL,43
Aggregate,Hexagonal,DSC-SPL,42
Aggregates,Cubic,DSC-SPL,38
Aggregates,Garnet,DSC-SPL,78
Aggregates,Hexagonal,DSC-SPL,32
Aggregates,Olivines,DSC-SPL,54
Aggregates,Rutile,DSC-SPL,33
Aggregates,Spinels,DSC-SPL,47
Alloy,2H,DSC-SPL,60
Alloy,A-Phase,DSC-SPL,118
Alloy,A1,DSC-SPL,44
Alloy,A2,DSC-SPL,52
Alloy,Abstract,DSC-SPL,325
Alloy,Acicular,DSC-SPL,73
Alloy,Alpha,DSC-SPL,304
Alloy,Anatase,DSC-SPL,210
Alloy,Austenite,DSC-SPL,2239
Alloy,Austenitic,DSC-SPL,1535
Alloy,B s t,DSC-SPL,50
Alloy,B1,DSC-SPL,78
Alloy,B19,DSC-SPL,46
Alloy,B2,DSC-SPL,1060
Alloy,BCC,DSC-SPL,2273
Alloy,BCT,DSC-SPL,68
Alloy,BSTRAct,DSC-SPL,117
Alloy,Bainite,DSC-SPL,110
Alloy,Bainitic,DSC-SPL,162
Alloy,Bcc-Fe,DSC-SPL,35
Alloy,Beta,DSC-SPL,269
Alloy,Body Centred Cubic,DSC-SPL,630
Alloy,Body-Centered Tetragonal,DSC-SPL,45
Alloy,C14,DSC-SPL,193
Alloy,C15,DSC-SPL,118
Alloy,CG,DSC-SPL,41
Alloy,CP,DSC-SPL,89
Alloy,Chalcopyrite,DSC-SPL,71
Alloy,Chinese,DSC-SPL,43
Alloy,Chinese Script,DSC-SPL,40
Alloy,Cooling,DSC-SPL,147
Alloy,Cscl,DSC-SPL,46
Alloy,Cube,DSC-SPL,41
Alloy,Cubic,DSC-SPL,1438
Alloy,Cuboid,DSC-SPL,64
Alloy,Cuboidal,DSC-SPL,189
Alloy,D022,DSC-SPL,61
Alloy,D03,DSC-SPL,105
Alloy,Decagonal,DSC-SPL,71
Alloy,Delta,DSC-SPL,36
Alloy,Do3,DSC-SPL,49
Alloy,Dp,DSC-SPL,43
Alloy,Duplex,DSC-SPL,135
Alloy,E-Martensite,DSC-SPL,98
Alloy,E-Phase,DSC-SPL,57
Alloy,F,DSC-SPL,78
Alloy,FCC,DSC-SPL,2967
Alloy,FCC Al,DSC-SPL,31
Alloy,FCC-Al,DSC-SPL,40
Alloy,FCT,DSC-SPL,68
Alloy,Face Centered Cubic,DSC-SPL,913
Alloy,Face-Centered Tetragonal,DSC-SPL,40
Alloy,Fcc,DSC-SPL,35
Alloy,Ferrite,DSC-SPL,79
Alloy,Ferritic,DSC-SPL,498
Alloy,G,DSC-SPL,756
Alloy,Gamma,DSC-SPL,163
Alloy,Garnet,DSC-SPL,82
Alloy,Goss,DSC-SPL,35
Alloy,Gp,DSC-SPL,75
Alloy,Graphitic,DSC-SPL,39
Alloy,Guinier,DSC-SPL,49
Alloy,H.C.P,DSC-SPL,39
Alloy,HCP,DSC-SPL,998
Alloy,Half,DSC-SPL,47
