Subject,Object,Rel,Count
- Doping,Doping,PRO-SMT,30
143Nd/144Nd,Melting,PRO-SMT,63
143nd / 144nd,Melting,PRO-SMT,64
147Sm/144Nd,Melting,PRO-SMT,33
16S rRNA,Pcr,PRO-SMT,37
176Hf/177Hf,Melting,PRO-SMT,47
1O2,Irradiated,PRO-SMT,47
1O2,Irradiation,PRO-SMT,125
1s Core Level,Annealing,PRO-SMT,32
206Pb/204Pb,Melting,PRO-SMT,101
206Pb/204Pb,Partial Melting,PRO-SMT,34
206Pb/238U Age,Melting,PRO-SMT,57
206Pb/238U Age,Metamorphic,PRO-SMT,60
206Pb/238U Age,Metamorphism,PRO-SMT,37
207Pb/204Pb,Melting,PRO-SMT,53
207Pb/206Pb Age,Metamorphic,PRO-SMT,59
207Pb/206Pb Age,Metamorphism,PRO-SMT,37
208Pb/204Pb,Melting,PRO-SMT,52
2D,Annealed,PRO-SMT,82
2D,Annealing,PRO-SMT,119
2D,CVD,PRO-SMT,210
2D,Chemical Vapour Deposition,PRO-SMT,105
2D,Coated,PRO-SMT,97
2D,Cooling,PRO-SMT,42
2D,Doping,PRO-SMT,108
2D,Etching,PRO-SMT,67
2D,Exfoliate,PRO-SMT,62
2D,Exfoliation,PRO-SMT,82
2D,Heating,PRO-SMT,68
2D,Irradiated,PRO-SMT,36
2D,Irradiation,PRO-SMT,55
2D,Mechanical Exfoliation,PRO-SMT,34
2D,Oxidation,PRO-SMT,80
2D,Oxidize,PRO-SMT,45
2D,Reductions,PRO-SMT,36
2D,Self Assembly,PRO-SMT,32
2D,Sonication,PRO-SMT,31
2D Bands,CVD,PRO-SMT,58
2D Peak,Annealing,PRO-SMT,31
2D Peak,CVD,PRO-SMT,46
2p,Annealed,PRO-SMT,49
2p,Annealing,PRO-SMT,55
2p,Coated,PRO-SMT,38
2p,Oxidation,PRO-SMT,30
2p,Oxidize,PRO-SMT,31
2p Core Level,Annealed,PRO-SMT,44
2p Core Level,Annealing,PRO-SMT,51
3,Annealed,PRO-SMT,38
3,Annealing,PRO-SMT,47
3,Coated,PRO-SMT,47
3,Cooling,PRO-SMT,67
3,Heating,PRO-SMT,79
3,Irradiation,PRO-SMT,56
3,Oxidation,PRO-SMT,41
3D,Annealed,PRO-SMT,36
3D,Annealing,PRO-SMT,57
3D,Calcination,PRO-SMT,33
3D,Coated,PRO-SMT,69
3D,Cooling,PRO-SMT,42
3D,Doping,PRO-SMT,43
3D,Heating,PRO-SMT,85
3D,Hydrothermal,PRO-SMT,48
3D,Hydrothermal Condition,PRO-SMT,77
3D,Hydrothermal Reaction,PRO-SMT,40
3D,Irradiation,PRO-SMT,60
3D,Oxidation,PRO-SMT,40
3D,Self Assembly,PRO-SMT,42
3D Structure,Heating,PRO-SMT,30
3D Structure,Hydrolysis,PRO-SMT,30
87Sr/86Sr,Batch Melting,PRO-SMT,31
87Sr/86Sr,Fractional Crystallization,PRO-SMT,96
87Sr/86Sr,Leaching,PRO-SMT,33
87Sr/86Sr,Melting,PRO-SMT,247
87Sr/86Sr,Metasomatism,PRO-SMT,34
87Sr/86Sr,Metasomatized,PRO-SMT,31
87Sr/86Sr,Partial Melting,PRO-SMT,66
87Sr/86Sr,Subducted,PRO-SMT,37
87Sr/86Sr,Weathering,PRO-SMT,88
87Sr/86Sr Ratios,Fractional Crystallization,PRO-SMT,35
87Sr/86Sr Ratios,Melting,PRO-SMT,113
87Sr/86Sr Ratios,Partial Melting,PRO-SMT,40
87Sr/86Sr Ratios,Weathering,PRO-SMT,72
87Sr/86Sr)I,Melting,PRO-SMT,49
A-Site,Doping,PRO-SMT,38
A/CNK,Melting,PRO-SMT,55
A1g,Annealed,PRO-SMT,41
A1g,Annealing,PRO-SMT,52
A1g,CVD,PRO-SMT,68
ABS,Irradiation,PRO-SMT,33
AC Conductivity,Annealed,PRO-SMT,102
AC Conductivity,Annealing,PRO-SMT,93
AC Conductivity,Calcination,PRO-SMT,47
AC Conductivity,Calcined,PRO-SMT,109
AC Conductivity,Coated,PRO-SMT,45
AC Conductivity,Cooling,PRO-SMT,63
AC Conductivity,Doping,PRO-SMT,97
AC Conductivity,Heat Treatment,PRO-SMT,35
AC Conductivity,Heating,PRO-SMT,137
AC Conductivity,Irradiated,PRO-SMT,44
AC Conductivity,Irradiation,PRO-SMT,36
AC Conductivity,Sintered,PRO-SMT,321
AC Conductivity,Sintering,PRO-SMT,101
AC Conductivity,Sol-Gel,PRO-SMT,102
AC Conductivity,Solid State Reaction,PRO-SMT,42
AC Conductivity,Solid State Reaction Method,PRO-SMT,56
AC Conductivity,Solid State Reaction Technique,PRO-SMT,40
AC Impedance,Coated,PRO-SMT,37
AC Impedance,Heating,PRO-SMT,30
AC Impedance,Sintered,PRO-SMT,61
AC Losses,Coated,PRO-SMT,35
AC Magnetic Susceptibility,Cooling,PRO-SMT,33
AC Susceptibility,Annealed,PRO-SMT,69
AC Susceptibility,Annealing,PRO-SMT,39
AC Susceptibility,Cooling,PRO-SMT,112
AC Susceptibility,Doping,PRO-SMT,36
AC Susceptibility,Heating,PRO-SMT,72
AC Susceptibility,Sintered,PRO-SMT,50
ACT,Annealing,PRO-SMT,40
AFC,Melting,PRO-SMT,30
AFM,Annealed,PRO-SMT,34
AFM,Annealing,PRO-SMT,44
AFM,Cooling,PRO-SMT,102
AFM,Doping,PRO-SMT,158
AFM,Field Cooling,PRO-SMT,36
AFM,Heating,PRO-SMT,35
ALP,Coated,PRO-SMT,80
ALP,Electrospun,PRO-SMT,46
ALP,Implantations,PRO-SMT,38
ALP,Irradiation,PRO-SMT,31
ALP Activity,3D Printed,PRO-SMT,34
ALP Activity,Coated,PRO-SMT,169
ALP Activity,Coatings,PRO-SMT,70
ALP Activity,Culturing,PRO-SMT,34
ALP Activity,Electrospinning,PRO-SMT,43
ALP Activity,Electrospun,PRO-SMT,91
ALP Activity,Implantations,PRO-SMT,152
ALP Activity,Implanted,PRO-SMT,51
ALP Activity,Mineralization,PRO-SMT,93
ALP Activity,Mineralized,PRO-SMT,49
ALP Activity,Osteogenic,PRO-SMT,52
ALP Activity,Osteogenic Differentiation,PRO-SMT,68
ALP Activity,Osteogenic Induction,PRO-SMT,34
ALP Activity,Sintered,PRO-SMT,45
ALP Activity,Soaking,PRO-SMT,115
AOD,Burning,PRO-SMT,35
AR,Coated,PRO-SMT,41
ARC,Melting,PRO-SMT,45
ARC,Welding,PRO-SMT,32
ASH Content,Combustion,PRO-SMT,89
ASH Content,Fast Pyrolysis,PRO-SMT,32
ASH Content,Flotation,PRO-SMT,30
ASH Content,Gasification,PRO-SMT,45
ASH Content,Pyrolysis,PRO-SMT,145
ASH Content,Washing,PRO-SMT,33
ASR,Annealed,PRO-SMT,43
ASR,Annealing,PRO-SMT,53
ASR,Calcination,PRO-SMT,31
ASR,Calcined,PRO-SMT,100
ASR,Coated,PRO-SMT,145
ASR,Doping,PRO-SMT,32
ASR,Fired,PRO-SMT,37
ASR,Heat Treatment,PRO-SMT,46
ASR,Heating,PRO-SMT,51
ASR,Oxidation,PRO-SMT,129
ASR,Oxidize,PRO-SMT,63
