Subject,Object,Rel,Count
-Rich,Spinels,PRO-SPL,30
143Nd/144Nd,Clinopyroxenes,PRO-SPL,34
143Nd/144Nd,Garnet,PRO-SPL,55
143Nd/144Nd,Olivines,PRO-SPL,36
143Nd/144Nd,Spinels,PRO-SPL,36
143nd / 144nd,Basaltic,PRO-SPL,30
143nd / 144nd,Garnet,PRO-SPL,60
147Sm/144Nd,Garnet,PRO-SPL,31
176Hf/177Hf,Garnet,PRO-SPL,62
176Lu/177Hf,Garnet,PRO-SPL,40
206Pb/204Pb,Basaltic,PRO-SPL,32
206Pb/204Pb,Chondrite,PRO-SPL,31
206Pb/204Pb,Garnet,PRO-SPL,78
206Pb/204Pb,Granite,PRO-SPL,32
206Pb/204Pb,Olivines,PRO-SPL,42
206Pb/238U Age,Amphibolite,PRO-SPL,35
206Pb/238U Age,Chondrite,PRO-SPL,66
206Pb/238U Age,Eclogites,PRO-SPL,54
206Pb/238U Age,Garnet,PRO-SPL,127
206Pb/238U Age,Gneiss,PRO-SPL,63
206Pb/238U Age,Granite,PRO-SPL,54
206Pb/238U Age,Granulite,PRO-SPL,47
206Pb/238U Age,Rutile,PRO-SPL,31
207Pb/204Pb,Garnet,PRO-SPL,33
207Pb/204Pb,Granite,PRO-SPL,31
207Pb/206Pb Age,Amphibolite,PRO-SPL,33
207Pb/206Pb Age,Chondrite,PRO-SPL,46
207Pb/206Pb Age,Garnet,PRO-SPL,83
207Pb/206Pb Age,Gneiss,PRO-SPL,76
207Pb/206Pb Age,Gneisses,PRO-SPL,62
207Pb/206Pb Age,Granulite,PRO-SPL,61
207Pb/206Pb Age,North China Craton,PRO-SPL,57
208Pb/204Pb,Garnet,PRO-SPL,35
2D,Cubic,PRO-SPL,32
2D,Hexagonal,PRO-SPL,301
2D,Orthorhombic,PRO-SPL,33
2D,Perovskites,PRO-SPL,75
2D,Tetragonal,PRO-SPL,32
2DEG,Perovskites,PRO-SPL,40
3,Cubic,PRO-SPL,73
3,Hexagonal,PRO-SPL,60
3,Monoclinic,PRO-SPL,31
3,Perovskites,PRO-SPL,36
3D,Cubic,PRO-SPL,85
3D,FCC,PRO-SPL,39
3D,Hexagonal,PRO-SPL,153
3D,Monoclinic,PRO-SPL,67
3D,Orthorhombic,PRO-SPL,62
3D,PCU,PRO-SPL,30
3D,Perovskites,PRO-SPL,66
3D,Tetragonal,PRO-SPL,54
3D Structure,Hexagonal,PRO-SPL,33
87Sr/86Sr,Alkaline,PRO-SPL,36
87Sr/86Sr,Basaltic,PRO-SPL,86
87Sr/86Sr,Calc,PRO-SPL,36
87Sr/86Sr,Chondrite,PRO-SPL,96
87Sr/86Sr,Clinopyroxenes,PRO-SPL,95
87Sr/86Sr,Eclogites,PRO-SPL,35
87Sr/86Sr,Garnet,PRO-SPL,198
87Sr/86Sr,Granite,PRO-SPL,50
87Sr/86Sr,Granitic,PRO-SPL,42
87Sr/86Sr,Granitoids,PRO-SPL,33
87Sr/86Sr,Olivines,PRO-SPL,111
87Sr/86Sr,Plagioclase,PRO-SPL,34
87Sr/86Sr,Primitive Mantle,PRO-SPL,32
87Sr/86Sr,Pyroxene,PRO-SPL,46
87Sr/86Sr,Spinels,PRO-SPL,87
87Sr/86Sr,Tholeiitic,PRO-SPL,37
87Sr/86Sr Ratios,Basaltic,PRO-SPL,34
87Sr/86Sr Ratios,Garnet,PRO-SPL,80
87Sr/86Sr Ratios,Granite,PRO-SPL,60
87Sr/86Sr Ratios,Granitoids,PRO-SPL,35
87Sr/86Sr Ratios,Spinels,PRO-SPL,31
87Sr/86Sr)I,Granite,PRO-SPL,35
A 0,Cubic,PRO-SPL,34
A 0,FCC,PRO-SPL,33
A 0,Hexagonal,PRO-SPL,30
