Subject,Object,Rel,Count
- Layer,Layers,SMT-DSC,37
"1,3-Dipolar Cycloaddition",Nanoparticles,SMT-DSC,32
"1,3-Dipolar Cycloaddition",Nanotube,SMT-DSC,35
"1,3-Dipolar Cycloaddition",Surface,SMT-DSC,48
1000°C,Alloy,SMT-DSC,62
1000°C,Alloys,SMT-DSC,30
1000°C,Composite,SMT-DSC,33
1000°C,Film,SMT-DSC,31
1000°C,Films,SMT-DSC,33
1000°C,Layers,SMT-DSC,65
1000°C,Particles,SMT-DSC,49
1000°C,Powder,SMT-DSC,94
1000°C,Powders,SMT-DSC,69
1000°C,Substrate,SMT-DSC,53
1000°C,Surface,SMT-DSC,95
3D,2D,SMT-DSC,90
3D,3D Printed,SMT-DSC,102
3D,Ceramic,SMT-DSC,30
3D,Composite,SMT-DSC,88
3D,Fiber,SMT-DSC,33
3D,Fibers,SMT-DSC,32
3D,Filaments,SMT-DSC,34
3D,Film,SMT-DSC,34
3D,Hydrogel,SMT-DSC,85
3D,Interface,SMT-DSC,48
3D,Layers,SMT-DSC,124
3D,Membrane,SMT-DSC,34
3D,Nanoparticles,SMT-DSC,32
3D,Particles,SMT-DSC,46
3D,Porous,SMT-DSC,48
3D,Powder,SMT-DSC,35
3D,Printed,SMT-DSC,117
3D,Scaffold,SMT-DSC,61
3D,Scaffolds,SMT-DSC,66
3D,Substrate,SMT-DSC,83
3D,Surface,SMT-DSC,149
3D,Surfaces,SMT-DSC,41
3D Bioprinting,3D,SMT-DSC,70
3D Bioprinting,Bioink,SMT-DSC,42
3D Bioprinting,Hydrogel,SMT-DSC,79
3D Bioprinting,Layers,SMT-DSC,31
3D Bioprinting,Scaffold,SMT-DSC,31
3D Bioprinting,Scaffolds,SMT-DSC,35
3D Printed,2D,SMT-DSC,84
3D Printed,3D,SMT-DSC,444
3D Printed,3D Scaffolds,SMT-DSC,36
3D Printed,Aerogel,SMT-DSC,31
3D Printed,Alloy,SMT-DSC,60
3D Printed,Alloys,SMT-DSC,31
3D Printed,Amorphous,SMT-DSC,50
3D Printed,Array,SMT-DSC,37
3D Printed,As-Printed,SMT-DSC,30
3D Printed,Bar,SMT-DSC,51
3D Printed,Bars,SMT-DSC,76
3D Printed,Bone,SMT-DSC,36
3D Printed,Bulk,SMT-DSC,93
3D Printed,Cell,SMT-DSC,43
3D Printed,Cells,SMT-DSC,79
3D Printed,Cellular,SMT-DSC,32
3D Printed,Ceramic,SMT-DSC,102
3D Printed,Composite,SMT-DSC,326
3D Printed,Core,SMT-DSC,32
3D Printed,Cross Section,SMT-DSC,50
3D Printed,Crystal,SMT-DSC,44
3D Printed,Cube,SMT-DSC,33
3D Printed,Cylinder,SMT-DSC,54
3D Printed,Doped,SMT-DSC,46
3D Printed,Droplets,SMT-DSC,45
3D Printed,Fiber,SMT-DSC,114
3D Printed,Fibers,SMT-DSC,126
3D Printed,Filament,SMT-DSC,102
3D Printed,Filaments,SMT-DSC,120
3D Printed,Film,SMT-DSC,145
3D Printed,Films,SMT-DSC,104
3D Printed,Foam,SMT-DSC,61
3D Printed,Foams,SMT-DSC,39
3D Printed,Foil,SMT-DSC,35
3D Printed,Gel,SMT-DSC,55
3D Printed,Glass,SMT-DSC,32
3D Printed,Grid,SMT-DSC,31
3D Printed,Honeycomb,SMT-DSC,44
3D Printed,Hydrogel,SMT-DSC,225
3D Printed,Ink,SMT-DSC,36
3D Printed,Interface,SMT-DSC,169
3D Printed,Lattice,SMT-DSC,32
3D Printed,Layer,SMT-DSC,31
3D Printed,Layered,SMT-DSC,45
3D Printed,Layers,SMT-DSC,443
3D Printed,Matrix,SMT-DSC,75
3D Printed,Membrane,SMT-DSC,108
3D Printed,Mesh,SMT-DSC,58
3D Printed,Microchannel,SMT-DSC,46
3D Printed,Microparticle,SMT-DSC,30
3D Printed,Monolithic,SMT-DSC,31
3D Printed,Monoliths,SMT-DSC,45
3D Printed,Multilayer,SMT-DSC,39
3D Printed,Nanocomposite,SMT-DSC,72
3D Printed,Nanofiber,SMT-DSC,30
3D Printed,Nanoparticle,SMT-DSC,57
3D Printed,Nanoparticles,SMT-DSC,140
3D Printed,Nanosheets,SMT-DSC,39
3D Printed,Nanotube,SMT-DSC,38
3D Printed,Particle,SMT-DSC,51
3D Printed,Particles,SMT-DSC,185
3D Printed,Patterned,SMT-DSC,44
3D Printed,Plate,SMT-DSC,53
3D Printed,Porous,SMT-DSC,224
3D Printed,Porous Scaffolds,SMT-DSC,42
3D Printed,Powder,SMT-DSC,156
3D Printed,Powders,SMT-DSC,69
3D Printed,Printed,SMT-DSC,80
3D Printed,Pure,SMT-DSC,51
3D Printed,Scaffold,SMT-DSC,250
3D Printed,Scaffolds,SMT-DSC,298
3D Printed,Sheet,SMT-DSC,59
