Subject,Object,Rel,Count
"1,3-Dipolar Cycloaddition",Cycloaddition,SMT-SMT,80
"1,3-Dipolar Cycloaddition",Oxidation,SMT-SMT,47
"1,3-Dipolar Cycloaddition",Reductions,SMT-SMT,35
1000°C,900°C,SMT-SMT,50
1000°C,Annealed,SMT-SMT,112
1000°C,Annealing,SMT-SMT,68
1000°C,Calcined,SMT-SMT,73
1000°C,Heat Treated,SMT-SMT,49
1000°C,Heat Treatment,SMT-SMT,41
1000°C,Heated,SMT-SMT,31
1000°C,Heating,SMT-SMT,42
1000°C,Oxidation,SMT-SMT,43
1000°C,Sintered,SMT-SMT,91
1000°C,Sintering,SMT-SMT,39
1350,Sintered,SMT-SMT,98
1350,Sintering,SMT-SMT,46
1350°C,Sintered,SMT-SMT,59
1350°C,Sintering,SMT-SMT,31
2nd,Heating,SMT-SMT,38
3D,3D Printed,SMT-SMT,166
3D,3D Printing,SMT-SMT,189
3D,Additive Manufacturing,SMT-SMT,41
3D,Bioprinting,SMT-SMT,35
3D,Extrusion,SMT-SMT,53
3D,Fdm,SMT-SMT,40
3D,Printed,SMT-SMT,78
3D,Printing,SMT-SMT,156
3D,Three Dimensional,SMT-SMT,92
3D Bioprinting,3D Printing,SMT-SMT,31
3D Bioprinting,Bioprinted,SMT-SMT,52
3D Bioprinting,Bioprinting,SMT-SMT,57
3D Printed,3D,SMT-SMT,166
3D Printed,3D Printer,SMT-SMT,46
3D Printed,3D Printing,SMT-SMT,626
3D Printed,AM,SMT-SMT,69
3D Printed,Additive Manufacturing,SMT-SMT,101
3D Printed,Bioprinted,SMT-SMT,34
3D Printed,Bioprinting,SMT-SMT,30
3D Printed,Cast,SMT-SMT,31
3D Printed,Coated,SMT-SMT,139
3D Printed,Coatings,SMT-SMT,43
3D Printed,Cooling,SMT-SMT,55
3D Printed,Cross-Linking,SMT-SMT,32
3D Printed,Cured,SMT-SMT,38
3D Printed,Curing,SMT-SMT,64
3D Printed,Drying,SMT-SMT,49
3D Printed,Electrospun,SMT-SMT,30
3D Printed,Extruded,SMT-SMT,62
3D Printed,Extrusion,SMT-SMT,130
3D Printed,Fdm,SMT-SMT,85
3D Printed,Fused Deposition Modelling,SMT-SMT,55
3D Printed,Heated,SMT-SMT,40
3D Printed,Heating,SMT-SMT,90
3D Printed,Implantations,SMT-SMT,44
3D Printed,Inkjet Printing,SMT-SMT,30
3D Printed,Printed,SMT-SMT,347
3D Printed,Printing,SMT-SMT,301
3D Printed,Selective Laser Melting,SMT-SMT,36
3D Printed,Sintered,SMT-SMT,95
3D Printed,Sintering,SMT-SMT,91
3D Printed,Stereolithography,SMT-SMT,34
3D Printed,Three Dimensional,SMT-SMT,31
3D Printer,3D Printed,SMT-SMT,46
3D Printer,3D Printing,SMT-SMT,53
3D Printing,3D,SMT-SMT,189
3D Printing,3D Bioprinting,SMT-SMT,31
3D Printing,3D Printed,SMT-SMT,626
3D Printing,3D Printer,SMT-SMT,53
3D Printing,3D Printing Technology,SMT-SMT,30
3D Printing,3DP,SMT-SMT,36
3D Printing,AM,SMT-SMT,179
3D Printing,Additive,SMT-SMT,32
3D Printing,Additive Manufacturing,SMT-SMT,297
3D Printing,Bioprinting,SMT-SMT,40
3D Printing,Coated,SMT-SMT,86
3D Printing,Cooling,SMT-SMT,38
3D Printing,Curing,SMT-SMT,47
3D Printing,Direct Ink Writing,SMT-SMT,56
3D Printing,Drying,SMT-SMT,34
3D Printing,Electrospinning,SMT-SMT,30
3D Printing,Extruded,SMT-SMT,58
3D Printing,Extrusion,SMT-SMT,183
3D Printing,Fdm,SMT-SMT,133
3D Printing,Fused Deposition Modelling,SMT-SMT,94
3D Printing,Fused Filament Fabrication,SMT-SMT,37
3D Printing,Heat Treatment,SMT-SMT,32
3D Printing,Heated,SMT-SMT,41
3D Printing,Heating,SMT-SMT,69
3D Printing,Inkjet Printing,SMT-SMT,55
3D Printing,Photopolymerization,SMT-SMT,36
3D Printing,Printed,SMT-SMT,264
3D Printing,Printing,SMT-SMT,351
3D Printing,Rapid Prototyping,SMT-SMT,53
3D Printing,SLA,SMT-SMT,39
3D Printing,SLS,SMT-SMT,31
3D Printing,Selective Laser Melting,SMT-SMT,41
3D Printing,Selective Laser Sintering,SMT-SMT,47
3D Printing,Sintered,SMT-SMT,96
3D Printing,Sintering,SMT-SMT,106
3D Printing,Slm,SMT-SMT,32
3D Printing,Stereolithography,SMT-SMT,74
3D Printing,Three Dimensional,SMT-SMT,64
3D Printing Technology,3D Printing,SMT-SMT,30
3DP,3D Printing,SMT-SMT,36
3DP,Three-Dimensional Printing,SMT-SMT,42
400C,Annealed,SMT-SMT,41
450°C,Annealed,SMT-SMT,31
500C,Annealed,SMT-SMT,50
600C,Annealed,SMT-SMT,44
600C,Annealing,SMT-SMT,36
60Co,Gamma Irradiation,SMT-SMT,62
60Co,Irradiated,SMT-SMT,40
60Co,Irradiation,SMT-SMT,76
60Co,Radiation,SMT-SMT,37
700C,Annealed,SMT-SMT,32
700°C,900°C,SMT-SMT,30
700°C,Annealed,SMT-SMT,55
700°C,Annealing,SMT-SMT,42
700°C,Calcined,SMT-SMT,37
700°C,Heat Treatment,SMT-SMT,34
800°C,900°C,SMT-SMT,31
800°C,Annealed,SMT-SMT,42
900,Annealed,SMT-SMT,36
900C,Annealed,SMT-SMT,50
900C,Annealing,SMT-SMT,37
900°C,1000°C,SMT-SMT,50
900°C,700°C,SMT-SMT,30
900°C,800°C,SMT-SMT,31
900°C,Annealed,SMT-SMT,178
900°C,Annealing,SMT-SMT,104
900°C,Calcination,SMT-SMT,34
900°C,Calcined,SMT-SMT,116
900°C,Coated,SMT-SMT,35
900°C,Heat Treated,SMT-SMT,54
900°C,Heat Treatment,SMT-SMT,54
900°C,Heated,SMT-SMT,32
900°C,Heating,SMT-SMT,65
900°C,Oxidation,SMT-SMT,50
900°C,Oxidize,SMT-SMT,30
900°C,Sintered,SMT-SMT,128
900°C,Sintering,SMT-SMT,73
AACVD,Aerosol-Assisted Chemical Vapor Deposition,SMT-SMT,77
AACVD,Aerosol-Assisted Chemical Vapour Deposition,SMT-SMT,89
ABE Fermentation,Fermentation,SMT-SMT,30
AD,Anaerobic Digestion,SMT-SMT,68
AF4,Asymmetrical Flow Field Flow Fractionation,SMT-SMT,46
AFC,Fractional Crystallization,SMT-SMT,44
AFC,Melting,SMT-SMT,40
AFEX,Ammonia Fiber Expansion,SMT-SMT,42
AFEX,Enzymatic Hydrolysis,SMT-SMT,39
AFEX,Hydrolysis,SMT-SMT,33
AFEX,Pre-Treatment,SMT-SMT,49
AGET,ATRP,SMT-SMT,40
AIC,Annealing,SMT-SMT,47
AIC,Induced Crystallization,SMT-SMT,32
AIP,Arc Ion Plating,SMT-SMT,65
ALD,ALD Coated,SMT-SMT,35
ALD,Annealed,SMT-SMT,133
ALD,Annealing,SMT-SMT,150
ALD,Atomic Layer Deposition,SMT-SMT,31
ALD,CVD,SMT-SMT,33
ALD,Coated,SMT-SMT,193
