Subject,Object,Rel,Count
3D Printed,Cubic,SMT-SPL,58
3D Printed,Hexagonal,SMT-SPL,56
3D Printing,Cubic,SMT-SPL,34
3D Printing,Hexagonal,SMT-SPL,38
ALD,Anatase,SMT-SPL,45
AM,Austenite,SMT-SPL,33
AM,Cubic,SMT-SPL,30
AM,Martensite,SMT-SPL,49
AM,Martensitic,SMT-SPL,39
AM,β,SMT-SPL,42
APCVD,Hexagonal,SMT-SPL,30
APS,Monoclinic,SMT-SPL,34
APS,Tetragonal,SMT-SPL,37
Ablation,Cubic,SMT-SPL,43
Ablation,Garnet,SMT-SPL,30
Ablation,Hexagonal,SMT-SPL,43
Acid Treated,Anatase,SMT-SPL,38
Acid Treatment,Anatase,SMT-SPL,52
Activation,Martensitic,SMT-SPL,30
Acute,Myeloid,SMT-SPL,52
Aged,Anatase,SMT-SPL,100
Aged,Austenite,SMT-SPL,437
Aged,Austenitic,SMT-SPL,185
Aged,B2,SMT-SPL,121
Aged,BCC,SMT-SPL,147
Aged,Cubic,SMT-SPL,224
Aged,Cuboidal,SMT-SPL,50
Aged,Duplex,SMT-SPL,62
Aged,FCC,SMT-SPL,261
Aged,Face Centered Cubic,SMT-SPL,40
Aged,Ferritic,SMT-SPL,49
Aged,G,SMT-SPL,115
Aged,HCP,SMT-SPL,88
Aged,Hexagonal,SMT-SPL,214
Aged,L12,SMT-SPL,121
Aged,Laves Phase,SMT-SPL,67
Aged,Leaves,SMT-SPL,55
Aged,Martensite,SMT-SPL,370
Aged,Martensitic,SMT-SPL,201
Aged,Monoclinic,SMT-SPL,117
Aged,Orthorhombic,SMT-SPL,79
Aged,Perovskites,SMT-SPL,280
Aged,Rhombohedral,SMT-SPL,44
Aged,Rutile,SMT-SPL,55
Aged,Spinels,SMT-SPL,76
Aged,T,SMT-SPL,48
Aged,T1,SMT-SPL,67
Aged,Tetragonal,SMT-SPL,161
Aged,Δ,SMT-SPL,60
Aged,Θ,SMT-SPL,36
Aged,α-Phase,SMT-SPL,32
Aged,α2,SMT-SPL,37
Aged,β,SMT-SPL,334
Aged,β-Phase,SMT-SPL,59
Aged,β1,SMT-SPL,31
Aged,γ',SMT-SPL,125
Aged,η,SMT-SPL,64
Aged,σ,SMT-SPL,101
Aged,ω,SMT-SPL,79
Ageing,Austenite,SMT-SPL,129
Ageing,Austenitic,SMT-SPL,61
Ageing,B2,SMT-SPL,37
Ageing,BCC,SMT-SPL,46
Ageing,Cubic,SMT-SPL,90
Ageing,FCC,SMT-SPL,75
Ageing,G,SMT-SPL,42
Ageing,Hexagonal,SMT-SPL,95
Ageing,Martensite,SMT-SPL,149
Ageing,Martensitic,SMT-SPL,87
Ageing,Monoclinic,SMT-SPL,66
Ageing,Orthorhombic,SMT-SPL,34
Ageing,Perovskites,SMT-SPL,91
Ageing,Spinels,SMT-SPL,31
Ageing,T,SMT-SPL,33
Ageing,T1,SMT-SPL,39
Ageing,Tetragonal,SMT-SPL,80
Ageing,β,SMT-SPL,144
Ageing,γ',SMT-SPL,36
Ageing,ω,SMT-SPL,37
Aging,Abstract,SMT-SPL,30
Aging,Anatase,SMT-SPL,135
Aging,Austenite,SMT-SPL,445
Aging,Austenitic,SMT-SPL,206
Aging,B2,SMT-SPL,122
Aging,BCC,SMT-SPL,161
Aging,Body Centred Cubic,SMT-SPL,44
Aging,Cubic,SMT-SPL,331
Aging,Cuboidal,SMT-SPL,49
Aging,Duplex,SMT-SPL,56
Aging,FCC,SMT-SPL,267
Aging,Face Centered Cubic,SMT-SPL,73
Aging,Ferritic,SMT-SPL,53
Aging,G,SMT-SPL,150
Aging,Gp,SMT-SPL,35
Aging,HCP,SMT-SPL,77
Aging,Hexagonal,SMT-SPL,324
Aging,L12,SMT-SPL,108
Aging,Lath,SMT-SPL,33
Aging,Laves Phase,SMT-SPL,75
Aging,Leaves,SMT-SPL,91
Aging,Martensite,SMT-SPL,458
Aging,Martensitic,SMT-SPL,274
Aging,Monoclinic,SMT-SPL,188
Aging,Orthorhombic,SMT-SPL,119
Aging,Perovskites,SMT-SPL,422
Aging,Rhombohedral,SMT-SPL,66
Aging,Rutile,SMT-SPL,86
Aging,S T,SMT-SPL,51
Aging,Spinels,SMT-SPL,104
Aging,T,SMT-SPL,83
Aging,T1,SMT-SPL,51
Aging,Tetragonal,SMT-SPL,243
Aging,Δ,SMT-SPL,69
Aging,Θ,SMT-SPL,35
Aging,α2,SMT-SPL,32
Aging,β,SMT-SPL,304
Aging,β-Phase,SMT-SPL,49
Aging,γ',SMT-SPL,130
Aging,η,SMT-SPL,55
Aging,σ,SMT-SPL,81
Aging,ω,SMT-SPL,64
Aging Treatment,Austenite,SMT-SPL,51
Aging Treatment,Martensite,SMT-SPL,66
Air Cooled,Austenite,SMT-SPL,66
Air Cooled,Martensite,SMT-SPL,64
Air Cooling,Austenite,SMT-SPL,112
Air Cooling,Martensite,SMT-SPL,123
Air Cooling,Martensitic,SMT-SPL,62
Air Cooling,β,SMT-SPL,46
Ald,Anatase,SMT-SPL,190
Ald,Cubic,SMT-SPL,123
Ald,Hexagonal,SMT-SPL,108
Ald,Monoclinic,SMT-SPL,54
Ald,Orthorhombic,SMT-SPL,38
Ald,Perovskites,SMT-SPL,167
Ald,Rutile,SMT-SPL,89
Ald,Spinels,SMT-SPL,50
Ald,Tetragonal,SMT-SPL,56
Ald,Wurtzite,SMT-SPL,32
Alloyed,Austenite,SMT-SPL,92
Alloyed,Austenitic,SMT-SPL,54
Alloyed,FCC,SMT-SPL,44
Alloyed,Martensite,SMT-SPL,55
Alloyed,Martensitic,SMT-SPL,42
Alloying,Austenite,SMT-SPL,317
Alloying,Austenitic,SMT-SPL,194
Alloying,B2,SMT-SPL,58
Alloying,BCC,SMT-SPL,230
Alloying,Bainite,SMT-SPL,31
Alloying,Body Centred Cubic,SMT-SPL,98
Alloying,Cubic,SMT-SPL,175
Alloying,FCC,SMT-SPL,267
Alloying,Face Centered Cubic,SMT-SPL,123
Alloying,Ferritic,SMT-SPL,83
Alloying,G,SMT-SPL,80
Alloying,HCP,SMT-SPL,105
Alloying,Hexagonal,SMT-SPL,138
Alloying,Hexagonal Close Packed,SMT-SPL,45
Alloying,L12,SMT-SPL,67
Alloying,Laves Phase,SMT-SPL,35
Alloying,Leaves,SMT-SPL,37
Alloying,Martensite,SMT-SPL,212
Alloying,Martensitic,SMT-SPL,181
Alloying,Monoclinic,SMT-SPL,38
Alloying,Orthorhombic,SMT-SPL,68
Alloying,Perovskites,SMT-SPL,75
Alloying,Rhombohedral,SMT-SPL,34
Alloying,Spinels,SMT-SPL,38
Alloying,Tetragonal,SMT-SPL,69
Alloying,Wurtzite,SMT-SPL,53
Alloying,Zinc Blende,SMT-SPL,30
Alloying,β,SMT-SPL,64
Alteration,Chondrite,SMT-SPL,67
Alteration,Clinopyroxenes,SMT-SPL,31
Alteration,Garnet,SMT-SPL,65
Alteration,Olivines,SMT-SPL,66
Alteration,Pyroxene,SMT-SPL,45
Alteration,Spinels,SMT-SPL,48
Altered,Garnet,SMT-SPL,37
Ammonolysis,Cubic,SMT-SPL,31
Amorphization,BCC,SMT-SPL,31
Amorphization,Cubic,SMT-SPL,48
Amorphization,FCC,SMT-SPL,36
Amorphization,Hexagonal,SMT-SPL,34
Anneal,Cubic,SMT-SPL,72
Anneal,FCC,SMT-SPL,46
Anneal,Hexagonal,SMT-SPL,69
Anneal,Monoclinic,SMT-SPL,39
Anneal,Perovskites,SMT-SPL,57
Anneal,Tetragonal,SMT-SPL,43
Anneal,β,SMT-SPL,35
Annealed,1T,SMT-SPL,46
Annealed,2H,SMT-SPL,63
Annealed,Abstract,SMT-SPL,113
Annealed,Alpha,SMT-SPL,66
Annealed,Anatase,SMT-SPL,1287
Annealed,Austenite,SMT-SPL,690
Annealed,Austenitic,SMT-SPL,363
Annealed,B2,SMT-SPL,214
Annealed,BCC,SMT-SPL,564
Annealed,BSTRAct,SMT-SPL,32
Annealed,Beta,SMT-SPL,37
Annealed,Body Centred Cubic,SMT-SPL,83
Annealed,Brookite,SMT-SPL,78
Annealed,Chalcopyrite,SMT-SPL,97
Annealed,Cooling,SMT-SPL,40
Annealed,Cube,SMT-SPL,34
Annealed,Cubic,SMT-SPL,1510
Annealed,Cubic Perovskites,SMT-SPL,62
Annealed,Cubic Spinel,SMT-SPL,93
Annealed,D03,SMT-SPL,41
Annealed,Double Perovskite,SMT-SPL,32
Annealed,Duplex,SMT-SPL,34
Annealed,F,SMT-SPL,56
Annealed,FCC,SMT-SPL,948
Annealed,FCT,SMT-SPL,45
Annealed,Face Centered Cubic,SMT-SPL,186
Annealed,Ferritic,SMT-SPL,76
Annealed,Fluorite,SMT-SPL,86
Annealed,G,SMT-SPL,92
Annealed,Garnet,SMT-SPL,125
Annealed,Graphitic,SMT-SPL,83
Annealed,HCP,SMT-SPL,292
Annealed,Heating,SMT-SPL,49
Annealed,Heusler,SMT-SPL,85
Annealed,Hexagonal,SMT-SPL,1444
Annealed,Hexagonal Close Packed,SMT-SPL,31
Annealed,Hexagonal Wurtzite,SMT-SPL,142
Annealed,Icosahedral,SMT-SPL,106
Annealed,Kesterite,SMT-SPL,98
Annealed,L10,SMT-SPL,152
Annealed,L12,SMT-SPL,96
Annealed,L21,SMT-SPL,33
Annealed,Laves Phase,SMT-SPL,83
Annealed,Leaves,SMT-SPL,40
Annealed,M,SMT-SPL,42
Annealed,Martensite,SMT-SPL,667
Annealed,Martensitic,SMT-SPL,318
Annealed,Monoclinic,SMT-SPL,814
Annealed,Olivines,SMT-SPL,61
Annealed,Orthorhombic,SMT-SPL,686
Annealed,P,SMT-SPL,38
Annealed,PNMA,SMT-SPL,31
Annealed,Perovskites,SMT-SPL,1271
Annealed,Pseudocubic,SMT-SPL,38
Annealed,Pyrochlore,SMT-SPL,80
Annealed,Rhombohedral,SMT-SPL,258
Annealed,Rock Salt,SMT-SPL,72
Annealed,Rutile,SMT-SPL,909
Annealed,S T,SMT-SPL,84
Annealed,Spinels,SMT-SPL,570
Annealed,T,SMT-SPL,139
Annealed,Tetragonal,SMT-SPL,961
Annealed,Triclinic,SMT-SPL,74
Annealed,Trigonal,SMT-SPL,70
Annealed,Wurtzite,SMT-SPL,296
Annealed,Zinc Blende,SMT-SPL,67
Annealed,Δ,SMT-SPL,65
Annealed,α' Martensite,SMT-SPL,54
Annealed,α-,SMT-SPL,39
Annealed,α-Phase,SMT-SPL,88
Annealed,α2,SMT-SPL,38
Annealed,β,SMT-SPL,396
Annealed,β-Phase,SMT-SPL,97
Annealed,γ',SMT-SPL,42
Annealed,γ-Phase,SMT-SPL,46
Annealed,σ,SMT-SPL,64
Annealed,ω,SMT-SPL,37
Annealing,110,SMT-SPL,34
Annealing,1T,SMT-SPL,58
Annealing,2H,SMT-SPL,87
Annealing,3,SMT-SPL,62
Annealing,A-Phase,SMT-SPL,31
Annealing,Abstract,SMT-SPL,200
Annealing,Alpha,SMT-SPL,58
Annealing,Anatase,SMT-SPL,1523
Annealing,Apatites,SMT-SPL,36
Annealing,Austenite,SMT-SPL,877
Annealing,Austenitic,SMT-SPL,457
Annealing,B2,SMT-SPL,270
Annealing,BCC,SMT-SPL,715
Annealing,BSTRAct,SMT-SPL,68
Annealing,Bainitic,SMT-SPL,32
Annealing,Beta,SMT-SPL,50
Annealing,Bixbyite,SMT-SPL,38
Annealing,Body Centred Cubic,SMT-SPL,155
Annealing,Brookite,SMT-SPL,72
Annealing,C14,SMT-SPL,33
Annealing,Chalcopyrite,SMT-SPL,164
Annealing,Cooling,SMT-SPL,57
Annealing,Cube,SMT-SPL,45
Annealing,Cubic,SMT-SPL,2044
Annealing,Cubic Fluorite,SMT-SPL,32
Annealing,Cubic Perovskites,SMT-SPL,84
Annealing,Cubic Spinel,SMT-SPL,84
Annealing,Cuboidal,SMT-SPL,35
Annealing,D03,SMT-SPL,40
Annealing,Decagonal,SMT-SPL,31
Annealing,Delafossite,SMT-SPL,35
Annealing,Double Perovskite,SMT-SPL,50
Annealing,Duplex,SMT-SPL,51
Annealing,E-Martensite,SMT-SPL,33
Annealing,F,SMT-SPL,68
Annealing,FCC,SMT-SPL,1298
Annealing,FCT,SMT-SPL,71
Annealing,Face Centered Cubic,SMT-SPL,388
Annealing,Face-Centered Tetragonal,SMT-SPL,32
Annealing,Ferrite,SMT-SPL,38
Annealing,Ferritic,SMT-SPL,124
Annealing,Fluorite,SMT-SPL,115
Annealing,G,SMT-SPL,157
Annealing,Gamma,SMT-SPL,31
Annealing,Garnet,SMT-SPL,213
Annealing,Goss,SMT-SPL,55
Annealing,Graphitic,SMT-SPL,166
Annealing,HCP,SMT-SPL,407
