Subject,Object,Rel,Count
100,Catalyst,SPL-APL,33
101,Catalyst,SPL-APL,33
110,Catalyst,SPL-APL,49
1T,Anode,SPL-APL,60
1T,Catalyst,SPL-APL,130
1T,Cathode,SPL-APL,43
1T,Contacts,SPL-APL,34
1T,Electrocatalyst,SPL-APL,72
1T,Electrode,SPL-APL,156
1T,Electrodes,SPL-APL,132
1T,Electrolyte,SPL-APL,35
1T,Hydrogen Evolution,SPL-APL,31
1T,Hydrogen Evolution Reaction,SPL-APL,96
1T,Supercapacitor,SPL-APL,36
2H,Anode,SPL-APL,55
2H,Catalyst,SPL-APL,137
2H,Cathode,SPL-APL,33
2H,Contacts,SPL-APL,36
2H,Electrocatalyst,SPL-APL,66
2H,Electrode,SPL-APL,140
2H,Electrodes,SPL-APL,130
2H,Electrolyte,SPL-APL,33
2H,Hydrogen Evolution Reaction,SPL-APL,77
2H,Photodetector,SPL-APL,35
ACT,Catalyst,SPL-APL,96
ACT,Electrode,SPL-APL,51
AML,Cells,SPL-APL,38
AML,Leukaemia,SPL-APL,39
AML,Leukemia,SPL-APL,96
ARC,Island,SPL-APL,76
Abstract,Adsorbent,SPL-APL,59
Abstract,Anode,SPL-APL,337
Abstract,Anodes,SPL-APL,91
Abstract,Batteries,SPL-APL,45
Abstract,Battery,SPL-APL,58
Abstract,Bio-Sensor,SPL-APL,31
Abstract,Catalysis,SPL-APL,33
Abstract,Catalyst,SPL-APL,575
Abstract,Cathode,SPL-APL,430
Abstract,Cathodes,SPL-APL,107
Abstract,Cell,SPL-APL,175
Abstract,Cells,SPL-APL,137
Abstract,Coatings,SPL-APL,258
Abstract,Counter Electrode,SPL-APL,45
Abstract,DSSCS,SPL-APL,88
Abstract,Dssc,SPL-APL,55
Abstract,Dye-Sensitized Solar Cells,SPL-APL,111
Abstract,Electrocatalyst,SPL-APL,57
Abstract,Electrode,SPL-APL,700
Abstract,Electrodes,SPL-APL,363
Abstract,Electrolyte,SPL-APL,367
Abstract,Energy,SPL-APL,63
Abstract,Fuel Cell,SPL-APL,105
Abstract,LIBs,SPL-APL,45
Abstract,Li-Ion Battery,SPL-APL,71
Abstract,Lithium Ion Battery,SPL-APL,156
Abstract,Lithium-Ion Batteries,SPL-APL,87
Abstract,Membrane,SPL-APL,44
Abstract,Methanol Oxidation,SPL-APL,35
Abstract,Negative Electrode,SPL-APL,39
Abstract,ORR,SPL-APL,52
Abstract,Oxidation,SPL-APL,93
Abstract,Oxygen Reduction Reaction,SPL-APL,51
Abstract,Phosphor,SPL-APL,62
Abstract,Phosphors,SPL-APL,77
Abstract,Photoanode,SPL-APL,60
Abstract,Photocatalyst,SPL-APL,62
Abstract,Photocatalysts,SPL-APL,62
Abstract,Photocatalytic Degradation,SPL-APL,37
Abstract,Positive Electrode,SPL-APL,41
Abstract,Reactors,SPL-APL,60
Abstract,Reductions,SPL-APL,35
Abstract,SOFC,SPL-APL,44
Abstract,SOFs,SPL-APL,42
Abstract,Sei,SPL-APL,33
Abstract,Sensor,SPL-APL,93
Abstract,Single Cell,SPL-APL,40
Abstract,Solar Cell,SPL-APL,193
Abstract,Solid Oxide Fuel Cells,SPL-APL,91
Abstract,Sorbent,SPL-APL,36
Abstract,Supercapacitor,SPL-APL,81
Acicular,Weld,SPL-APL,33
Acicular,Weld Metal,SPL-APL,41
Acute,Leukemia,SPL-APL,56
Acute Lymphoblastic,Leukemia,SPL-APL,32
Acute Myeloid,AML,SPL-APL,34
Acute Myeloid,Leukaemia,SPL-APL,38
Acute Myeloid,Leukemia,SPL-APL,114
Adenocarcinoma,Cancer,SPL-APL,47
Adenocarcinoma,Lung,SPL-APL,55
Adenocarcinoma,Lung Cancer,SPL-APL,56
Adenocarcinoma,NSCLC,SPL-APL,68
Alkaline,ARC,SPL-APL,42
Alpha,Coatings,SPL-APL,52
Alveolar,Cells,SPL-APL,56
