Subject,Object,Rel,Count
100,Cu,SPL-CHM,37
100,Hydrogen,SPL-CHM,47
100,Ni,SPL-CHM,30
100,O,SPL-CHM,58
100,Oxygen,SPL-CHM,85
100,Si,SPL-CHM,32
100,Ti,SPL-CHM,40
100,TiO2,SPL-CHM,47
101,CO,SPL-CHM,30
101,H2O,SPL-CHM,48
101,Hydrogen,SPL-CHM,92
101,O,SPL-CHM,148
101,O2,SPL-CHM,48
101,OH,SPL-CHM,40
101,Oxygen,SPL-CHM,179
101,Ti,SPL-CHM,147
101,TiO2,SPL-CHM,287
101,Titania,SPL-CHM,33
101,Titanium,SPL-CHM,43
110,Au,SPL-CHM,40
110,CO,SPL-CHM,41
110,CO2,SPL-CHM,30
110,Carbon,SPL-CHM,40
110,Cu,SPL-CHM,36
110,Fe,SPL-CHM,36
110,H2,SPL-CHM,38
110,H2O,SPL-CHM,53
110,Hydrogen,SPL-CHM,94
110,Hydroxyl,SPL-CHM,35
110,Ni,SPL-CHM,36
110,O,SPL-CHM,152
110,O2,SPL-CHM,58
110,OH,SPL-CHM,39
110,Oxides,SPL-CHM,35
110,Oxygen,SPL-CHM,224
110,Perovskites,SPL-CHM,45
110,Pt,SPL-CHM,32
110,Ti,SPL-CHM,157
110,TiO2,SPL-CHM,231
110,TiO2 (110),SPL-CHM,43
110,Titanium,SPL-CHM,43
122,Fe,SPL-CHM,37
122,Iron,SPL-CHM,31
194,MMC,SPL-CHM,30
1T,1H,SPL-CHM,53
1T,1T-MoS2,SPL-CHM,86
1T,2H,SPL-CHM,243
1T,2H MoS2,SPL-CHM,86
1T,2H-MoS2,SPL-CHM,80
1T,Ag,SPL-CHM,50
1T,Au,SPL-CHM,75
1T,Blue Line,SPL-CHM,41
1T,Carbon,SPL-CHM,132
1T,CdS,SPL-CHM,33
1T,Chalcogen,SPL-CHM,63
1T,Co,SPL-CHM,47
1T,Cu,SPL-CHM,42
1T,Fe,SPL-CHM,31
1T,Graphene,SPL-CHM,164
1T,Graphene Oxide,SPL-CHM,36
1T,Graphite,SPL-CHM,34
1T,H2,SPL-CHM,75
1T,H2O,SPL-CHM,34
1T,H2SO4,SPL-CHM,51
1T,HER,SPL-CHM,79
1T,Hydrogen,SPL-CHM,228
1T,KOH,SPL-CHM,37
1T,Li,SPL-CHM,96
1T,Lithium,SPL-CHM,91
1T,MXene,SPL-CHM,30
1T,Mo,SPL-CHM,293
1T,MoO3,SPL-CHM,31
1T,MoS,SPL-CHM,30
1T,MoS2,SPL-CHM,500
1T,MoSe2,SPL-CHM,103
1T,MoTe2,SPL-CHM,53
1T,Molybdenum,SPL-CHM,38
1T,Molybdenum Disulfide,SPL-CHM,56
1T,Na,SPL-CHM,38
1T,Ni,SPL-CHM,47
1T,Nitrogen,SPL-CHM,48
1T,O,SPL-CHM,48
1T,O2,SPL-CHM,31
1T,Oxygen,SPL-CHM,72
1T,Pd,SPL-CHM,31
1T,Pt,SPL-CHM,110
1T,ReS2,SPL-CHM,38
1T,Se,SPL-CHM,101
1T,Si,SPL-CHM,87
1T,SiO2,SPL-CHM,66
1T,Silicon,SPL-CHM,35
1T,Sulfur,SPL-CHM,102
