Subject,Object,Rel,Count
100,DFT,SPL-CMT,41
100,HRTEM,SPL-CMT,30
100,SEM,SPL-CMT,40
100,TEM,SPL-CMT,46
100,XRD,SPL-CMT,45
101,DFT,SPL-CMT,77
101,Density Functional Theory,SPL-CMT,55
101,HRTEM,SPL-CMT,45
101,SEM,SPL-CMT,47
101,STM,SPL-CMT,30
101,TEM,SPL-CMT,55
101,XPS,SPL-CMT,44
101,XRD,SPL-CMT,67
110,DFT,SPL-CMT,68
110,Density Functional Theory,SPL-CMT,67
110,HRTEM,SPL-CMT,35
110,SEM,SPL-CMT,51
110,TEM,SPL-CMT,57
110,X-Ray Diffraction,SPL-CMT,33
110,XPS,SPL-CMT,44
110,XRD,SPL-CMT,71
14,X-Ray Diffraction,SPL-CMT,61
1T,AFM,SPL-CMT,127
1T,C-V Curve,SPL-CMT,41
1T,CV,SPL-CMT,53
1T,Chemical Society,SPL-CMT,60
1T,Cyclic Voltammogram,SPL-CMT,34
1T,DFT,SPL-CMT,68
1T,DFT Calculations,SPL-CMT,37
1T,Eis,SPL-CMT,31
1T,Elemental Mapping,SPL-CMT,31
1T,Fft,SPL-CMT,37
1T,First Principle Calculation,SPL-CMT,47
1T,HAADF STEM,SPL-CMT,64
1T,HRTEM,SPL-CMT,177
1T,High Resolution TEM,SPL-CMT,57
1T,High Resolution XPS,SPL-CMT,47
1T,LSV,SPL-CMT,42
1T,Nyquist Plot,SPL-CMT,63
1T,Of Chemistry,SPL-CMT,92
1T,Optical Image,SPL-CMT,86
1T,Optical Microscopy,SPL-CMT,34
1T,Photo Luminescence,SPL-CMT,44
1T,Polarization Curve,SPL-CMT,88
1T,Raman,SPL-CMT,253
1T,SAED,SPL-CMT,69
1T,SEM,SPL-CMT,220
1T,STM,SPL-CMT,39
1T,Society,SPL-CMT,124
1T,Stem,SPL-CMT,48
1T,Structural Model,SPL-CMT,33
1T,TEM,SPL-CMT,237
1T,Tafel Plots,SPL-CMT,95
1T,X-Ray Diffraction,SPL-CMT,35
1T,XPS,SPL-CMT,160
1T,XRD,SPL-CMT,162
1Tphase,Raman,SPL-CMT,30
2D,Raman,SPL-CMT,70
2D,SEM,SPL-CMT,46
2D,XRD,SPL-CMT,39
2H,AFM,SPL-CMT,152
2H,Atomic Models,SPL-CMT,38
2H,C-V Curve,SPL-CMT,31
2H,CV,SPL-CMT,44
2H,Chemical Society,SPL-CMT,60
2H,Cyclic Voltammogram,SPL-CMT,31
2H,DFT,SPL-CMT,89
2H,DFT Calculations,SPL-CMT,32
2H,Density Functional Theory,SPL-CMT,37
2H,Diffraction Pattern,SPL-CMT,30
2H,EDS,SPL-CMT,35
2H,EDX,SPL-CMT,35
2H,Electron Diffraction,SPL-CMT,33
2H,Elemental Mapping,SPL-CMT,31
2H,Fft,SPL-CMT,58
2H,First Principle Calculation,SPL-CMT,33
2H,HAADF STEM,SPL-CMT,65
2H,HRTEM,SPL-CMT,210
2H,Height Profile,SPL-CMT,35
2H,High Resolution TEM,SPL-CMT,68
2H,High Resolution XPS,SPL-CMT,52
2H,LSV,SPL-CMT,43
2H,Nyquist Plot,SPL-CMT,68
2H,Of Chemistry,SPL-CMT,90
2H,Optical Image,SPL-CMT,97
2H,Optical Microscopy,SPL-CMT,39
2H,Photo Luminescence,SPL-CMT,57
2H,Polarization Curve,SPL-CMT,90
2H,Raman,SPL-CMT,294
2H,Raman Mapping,SPL-CMT,30
2H,Raman Spectroscopy,SPL-CMT,32
2H,SAED,SPL-CMT,83
2H,SEM,SPL-CMT,269
2H,STM,SPL-CMT,46
2H,Scanning Electron Microscopy,SPL-CMT,30
2H,Society,SPL-CMT,117
2H,Stem,SPL-CMT,59
2H,Structural Model,SPL-CMT,40
2H,TEM,SPL-CMT,292
2H,Tafel Plots,SPL-CMT,105
2H,Transmission Electron Microscopy,SPL-CMT,38
2H,X-Ray Diffraction,SPL-CMT,92
2H,XPS,SPL-CMT,195
2H,XRD,SPL-CMT,228
3,DFT,SPL-CMT,37
3,LEED,SPL-CMT,70
3,Low Energy Electron Diffraction,SPL-CMT,44
3,STM,SPL-CMT,105
3,Scanning Tunneling Microscopy,SPL-CMT,70
3,X-Ray Diffraction,SPL-CMT,41
3,XRD,SPL-CMT,32
3D,SEM,SPL-CMT,50
3D,TEM,SPL-CMT,31
3D,XRD,SPL-CMT,55
3m3m,AFM,SPL-CMT,34
4H,Raman,SPL-CMT,32
4H,SEM,SPL-CMT,31
4H,TEM,SPL-CMT,48
6H,X-Ray Diffraction,SPL-CMT,37
6H,XRD,SPL-CMT,30
A-Phase,SEM,SPL-CMT,34
A-Phase,Scanning Electron Microscopy,SPL-CMT,30
A-Phase,TEM,SPL-CMT,34
A-Phase,X-Ray Diffraction,SPL-CMT,79
A-Phase,XRD,SPL-CMT,60
A-Type,Cathodoluminescence,SPL-CMT,30
A-Type,Discrimination Diagram,SPL-CMT,35
A-Type,Geological Map,SPL-CMT,75
A-Type,SEM,SPL-CMT,65
A-Type,X-Ray Diffraction,SPL-CMT,40
A-Type,XRD,SPL-CMT,68
A1,SEM,SPL-CMT,60
A1,XRD,SPL-CMT,56
A1g,Raman,SPL-CMT,95
A1g,SEM,SPL-CMT,35
A1g,XRD,SPL-CMT,30
A2,SEM,SPL-CMT,36
A2,XRD,SPL-CMT,30
A3,SEM,SPL-CMT,49
A3,XRD,SPL-CMT,38
A:,SEM,SPL-CMT,48
A:,XRD,SPL-CMT,64
ABA,TEM,SPL-CMT,33
ACT,Cyclic Voltammetry,SPL-CMT,31
ACT,FT-IR,SPL-CMT,30
ACT,FTIR,SPL-CMT,32
ACT,SEM,SPL-CMT,63
ACT,Scanning Electron Microscopy,SPL-CMT,49
ACT,TEM,SPL-CMT,47
ACT,Transmission Electron Microscopy,SPL-CMT,44
ACT,X-Ray Diffraction,SPL-CMT,79
ACT,XPS,SPL-CMT,34
ACT,XRD,SPL-CMT,88
AML,Flow Cytometry,SPL-CMT,51
ARC,Geological Map,SPL-CMT,44
Abstract,1H,SPL-CMT,31
Abstract,1H NMR,SPL-CMT,63
Abstract,AFM,SPL-CMT,76
Abstract,Atomic Force Microscopy,SPL-CMT,81
Abstract,BET,SPL-CMT,75
Abstract,CV,SPL-CMT,124
Abstract,Chronoamperometry,SPL-CMT,31
Abstract,Cyclic Voltammetry,SPL-CMT,314
Abstract,Cyclic Voltammogram,SPL-CMT,30
Abstract,DFT,SPL-CMT,137
Abstract,DSC,SPL-CMT,56
Abstract,Density Functional Theory,SPL-CMT,145
Abstract,Differential Scanning Calorimetry,SPL-CMT,51
Abstract,EDS,SPL-CMT,121
Abstract,EDX,SPL-CMT,87
Abstract,Eis,SPL-CMT,162
Abstract,Electrochemical Impedance Spectroscopy,SPL-CMT,222
Abstract,Electrochemical Measurement,SPL-CMT,71
Abstract,Electron Microscopy,SPL-CMT,36
Abstract,Elemental Analysis,SPL-CMT,216
Abstract,Energy Dispersive X-Ray Spectroscopy,SPL-CMT,79
Abstract,Epr,SPL-CMT,39
Abstract,FE-SEM,SPL-CMT,51
Abstract,FESEM,SPL-CMT,61
Abstract,FT-IR,SPL-CMT,129
Abstract,FTIR,SPL-CMT,202
Abstract,Field Emission Scanning Electron Microscope,SPL-CMT,30
Abstract,Field Emission Scanning Electron Microscopy,SPL-CMT,80
Abstract,First Principle Calculation,SPL-CMT,103
Abstract,Fourier Transform Infrared,SPL-CMT,55
Abstract,Fourier Transform Infrared Spectroscopy,SPL-CMT,102
Abstract,HRTEM,SPL-CMT,131
