Subject,Object,Rel,Count
100,Bulk,SPL-DSC,92
100,Crystal,SPL-DSC,62
100,Film,SPL-DSC,54
100,Films,SPL-DSC,53
100,Interface,SPL-DSC,48
100,Layers,SPL-DSC,63
100,Particles,SPL-DSC,30
100,Single Crystal,SPL-DSC,40
100,Substrate,SPL-DSC,82
100,Surface,SPL-DSC,283
100,Surfaces,SPL-DSC,146
100,Thin Films,SPL-DSC,43
101,Bulk,SPL-DSC,83
101,Cluster,SPL-DSC,33
101,Crystal,SPL-DSC,48
101,Doped,SPL-DSC,41
101,Film,SPL-DSC,39
101,Films,SPL-DSC,43
101,Interface,SPL-DSC,67
101,Layers,SPL-DSC,51
101,Nanoparticles,SPL-DSC,44
101,Single Crystal,SPL-DSC,37
101,Slab,SPL-DSC,36
101,Stoichiometries,SPL-DSC,32
101,Substrate,SPL-DSC,54
101,Surface,SPL-DSC,366
101,Surfaces,SPL-DSC,222
110,Bulk,SPL-DSC,164
110,Cluster,SPL-DSC,48
110,Crystal,SPL-DSC,81
110,Doped,SPL-DSC,36
110,Film,SPL-DSC,80
110,Films,SPL-DSC,75
110,Interface,SPL-DSC,98
110,Layers,SPL-DSC,107
110,Monolayers,SPL-DSC,41
110,Nanoparticles,SPL-DSC,33
110,Particles,SPL-DSC,32
110,Single Crystal,SPL-DSC,58
110,Slab,SPL-DSC,43
110,Stoichiometries,SPL-DSC,47
110,Substrate,SPL-DSC,109
110,Surface,SPL-DSC,525
110,Surfaces,SPL-DSC,303
110,Thin Films,SPL-DSC,58
14,Crystal,SPL-DSC,35
14,Layers,SPL-DSC,32
14,Single Crystal,SPL-DSC,56
1H,Monolayers,SPL-DSC,45
1T,2D,SPL-DSC,236
1T,3D,SPL-DSC,59
1T,As Prepared,SPL-DSC,44
1T,Bilayer,SPL-DSC,81
1T,Bulk,SPL-DSC,185
1T,Composite,SPL-DSC,118
1T,Crystal,SPL-DSC,106
1T,Doped,SPL-DSC,110
1T,Few Layer,SPL-DSC,72
1T,Film,SPL-DSC,130
1T,Films,SPL-DSC,108
1T,Flake,SPL-DSC,40
1T,Flakes,SPL-DSC,72
1T,Foil,SPL-DSC,31
1T,Heterostructure,SPL-DSC,120
1T,Interface,SPL-DSC,96
1T,Layered,SPL-DSC,145
1T,Layers,SPL-DSC,230
1T,Monolayers,SPL-DSC,287
1T,Multilayer,SPL-DSC,41
1T,Nanocomposite,SPL-DSC,44
1T,Nanoparticles,SPL-DSC,70
1T,Nanosheets,SPL-DSC,278
1T,Nanostructures,SPL-DSC,53
1T,Nanotube,SPL-DSC,41
1T,Porous,SPL-DSC,44
1T,Powder,SPL-DSC,32
1T,Sheet,SPL-DSC,33
1T,Sheets,SPL-DSC,69
1T,Single Crystal,SPL-DSC,34
1T,Single Layer,SPL-DSC,94
1T,Substrate,SPL-DSC,186
1T,Surface,SPL-DSC,166
1T,Surfaces,SPL-DSC,49
1T,Thin,SPL-DSC,34
1T,Thin Films,SPL-DSC,55
1T,Trilayers,SPL-DSC,33
1T,Two-Dimensional,SPL-DSC,109
1T,Ultra-Thin,SPL-DSC,49
1×1,Surface,SPL-DSC,36
211,Surface,SPL-DSC,59
211,Surfaces,SPL-DSC,41
2D,3D,SPL-DSC,31
2D,Film,SPL-DSC,41
2D,Films,SPL-DSC,36
2D,Layers,SPL-DSC,52
2D,Substrate,SPL-DSC,46
2D,Surface,SPL-DSC,50
2D-Hexagonal,Mesoporous,SPL-DSC,51
2H,2D,SPL-DSC,188
2H,3D,SPL-DSC,48
2H,Alloy,SPL-DSC,60
2H,Alloys,SPL-DSC,37
2H,As Prepared,SPL-DSC,48
2H,Bilayer,SPL-DSC,87
2H,Bulk,SPL-DSC,218
2H,Composite,SPL-DSC,110
2H,Crystal,SPL-DSC,155
2H,Crystalline,SPL-DSC,37
2H,Doped,SPL-DSC,104
2H,Few Layer,SPL-DSC,69
2H,Film,SPL-DSC,144
2H,Films,SPL-DSC,124
2H,Flake,SPL-DSC,69
2H,Flakes,SPL-DSC,81
2H,Foil,SPL-DSC,37
2H,Heterostructure,SPL-DSC,112
2H,Interface,SPL-DSC,109
2H,Layered,SPL-DSC,148
2H,Layers,SPL-DSC,284
2H,Monolayers,SPL-DSC,274
2H,Multilayer,SPL-DSC,56
2H,Nanocomposite,SPL-DSC,38
2H,Nanoparticles,SPL-DSC,76
2H,Nanorods,SPL-DSC,31
2H,Nanosheets,SPL-DSC,228
2H,Nanostructures,SPL-DSC,44
2H,Nanotube,SPL-DSC,48
2H,Particles,SPL-DSC,37
2H,Porous,SPL-DSC,33
2H,Powder,SPL-DSC,65
2H,Pure,SPL-DSC,34
2H,Sheet,SPL-DSC,37
2H,Sheets,SPL-DSC,66
2H,Single Crystal,SPL-DSC,75
2H,Single Layer,SPL-DSC,89
2H,Substrate,SPL-DSC,192
2H,Surface,SPL-DSC,190
2H,Surfaces,SPL-DSC,43
2H,Thin,SPL-DSC,33
2H,Thin Films,SPL-DSC,64
2H,Trilayers,SPL-DSC,44
2H,Two-Dimensional,SPL-DSC,80
2H,Ultra-Thin,SPL-DSC,34
3,Bulk,SPL-DSC,66
3,Cluster,SPL-DSC,40
3,Crystal,SPL-DSC,44
3,Film,SPL-DSC,45
3,Films,SPL-DSC,36
3,Layers,SPL-DSC,109
3,Monolayers,SPL-DSC,70
3,Single Crystal,SPL-DSC,36
3,Substrate,SPL-DSC,105
3,Surface,SPL-DSC,260
3,Surfaces,SPL-DSC,80
3 × 3,Surface,SPL-DSC,31
3D,2D,SPL-DSC,116
3D,Bulk,SPL-DSC,30
3D,Crystal,SPL-DSC,43
3D,Film,SPL-DSC,48
3D,Films,SPL-DSC,54
3D,Layered,SPL-DSC,34
3D,Layers,SPL-DSC,61
3D,Surface,SPL-DSC,36
3D,Thin Films,SPL-DSC,30
3D,Three Dimensional,SPL-DSC,30
44-SQL,2D,SPL-DSC,39
44-SQL,3D,SPL-DSC,36
4H,Bulk,SPL-DSC,30
4H,Crystal,SPL-DSC,66
4H,Interface,SPL-DSC,31
4H,Layers,SPL-DSC,69
4H,Single Crystal,SPL-DSC,36
4H,Substrate,SPL-DSC,78
4H,Surface,SPL-DSC,58
6H,Crystal,SPL-DSC,42
6H,Layers,SPL-DSC,45
6H,Substrate,SPL-DSC,49
6H,Surface,SPL-DSC,42
A-Form,Crystal,SPL-DSC,39
A-Phase,Alloy,SPL-DSC,118
A-Phase,Alloys,SPL-DSC,90
A-Phase,Bulk,SPL-DSC,32
A-Phase,Crystalline,SPL-DSC,35
A-Phase,Film,SPL-DSC,45
A-Phase,Films,SPL-DSC,47
A-Phase,Layers,SPL-DSC,30
A-Phase,Particles,SPL-DSC,46
A-Phase,Powder,SPL-DSC,32
A-Phase,Substrate,SPL-DSC,41
A-Phase,Surface,SPL-DSC,43
A-Type,Bulk,SPL-DSC,41
A-Type,Crystal,SPL-DSC,54
A-Type,Film,SPL-DSC,31
A-Type,Granite,SPL-DSC,39
A-Type,Layers,SPL-DSC,55
A-Type,Rocks,SPL-DSC,31
A-Type,Substrate,SPL-DSC,38
A-Type,Surface,SPL-DSC,71
A-Type,Zircons,SPL-DSC,36
A1,Alloy,SPL-DSC,44
A1,Surface,SPL-DSC,42
A15,Alloys,SPL-DSC,30
A2,Alloy,SPL-DSC,52
A3,Surface,SPL-DSC,45
ABA,Block Copolymer,SPL-DSC,64
ABA,Copolymer,SPL-DSC,52
ABA,Layers,SPL-DSC,61
ABA,Micelles,SPL-DSC,30
ABA,Surface,SPL-DSC,35
ABA,Triblock,SPL-DSC,55
ABA,Triblock Copolymer,SPL-DSC,130
ABA,Trilayers,SPL-DSC,34
ACT,Composite,SPL-DSC,39
ACT,Films,SPL-DSC,31
ACT,Layers,SPL-DSC,44
ACT,Nanoparticles,SPL-DSC,101
ACT,Particles,SPL-DSC,60
ACT,Surface,SPL-DSC,105
AML,Bone,SPL-DSC,38
AML,Bone Marrow,SPL-DSC,30
AML,Cell,SPL-DSC,39
AML,Cells,SPL-DSC,59
Abab,Layers,SPL-DSC,45
Abstract,1D,SPL-DSC,61
Abstract,2D,SPL-DSC,96
Abstract,3D,SPL-DSC,160
Abstract,Alloy,SPL-DSC,325
Abstract,Alloys,SPL-DSC,204
Abstract,Amorphous,SPL-DSC,210
Abstract,As Prepared,SPL-DSC,159
Abstract,As-Synthesized,SPL-DSC,64
Abstract,Bulk,SPL-DSC,196
Abstract,Ceramic,SPL-DSC,99
Abstract,Chains,SPL-DSC,51
Abstract,Cluster,SPL-DSC,110
Abstract,Co-Doped,SPL-DSC,41
Abstract,Coated,SPL-DSC,45
Abstract,Composite,SPL-DSC,439
Abstract,Coordination Polymer,SPL-DSC,42
Abstract,Core,SPL-DSC,53
Abstract,Crystal,SPL-DSC,248
Abstract,Crystalline,SPL-DSC,200
Abstract,Crystallite,SPL-DSC,37
Abstract,Doped,SPL-DSC,499
Abstract,Fiber,SPL-DSC,36
Abstract,Fibers,SPL-DSC,34
Abstract,Film,SPL-DSC,393
Abstract,Films,SPL-DSC,456
Abstract,Foam,SPL-DSC,40
Abstract,Foil,SPL-DSC,36
Abstract,Glass,SPL-DSC,71
