Subject,Object,Rel,Count
100,Metals,SPL-PRO,31
100,Morphology,SPL-PRO,30
100,Structure,SPL-PRO,61
100,Surface Energy,SPL-PRO,34
101,Adsorption Energy,SPL-PRO,87
101,Band Gap,SPL-PRO,48
101,Conduction Band,SPL-PRO,32
101,DOS,SPL-PRO,48
101,Density of States,SPL-PRO,39
101,Homo,SPL-PRO,33
101,Oxygen Vacancies,SPL-PRO,31
101,Semiconductor,SPL-PRO,31
101,Structure,SPL-PRO,67
101,Structures,SPL-PRO,31
101,Surface Energy,SPL-PRO,39
110,Adsorption Energy,SPL-PRO,75
110,Band Gap,SPL-PRO,42
110,Compositions,SPL-PRO,33
110,Crystal Structure,SPL-PRO,33
110,Electronic Structure,SPL-PRO,37
110,Fermi Level,SPL-PRO,46
110,Metals,SPL-PRO,38
110,Semiconductor,SPL-PRO,34
110,Stability,SPL-PRO,42
110,Structural,SPL-PRO,31
110,Structure,SPL-PRO,98
110,Structures,SPL-PRO,31
110,Surface Energy,SPL-PRO,61
110,Surface Structure,SPL-PRO,31
122,Superconductivity,SPL-PRO,35
122,Superconductor,SPL-PRO,56
14,Crystal Structure,SPL-PRO,57
14,Structure,SPL-PRO,71
14,β,SPL-PRO,52
1T,Active Sites,SPL-PRO,59
1T,Activity,SPL-PRO,43
1T,Atomic Structure,SPL-PRO,60
1T,Atomic Structures,SPL-PRO,33
1T,Band Gap,SPL-PRO,61
1T,Band Structure,SPL-PRO,108
1T,Bandgap,SPL-PRO,73
1T,Catalytic Activity,SPL-PRO,61
1T,Compositions,SPL-PRO,49
1T,Conductive,SPL-PRO,30
1T,Conductivity,SPL-PRO,74
1T,Coulombic Efficiency,SPL-PRO,32
1T,Crystal Structure,SPL-PRO,120
1T,Current Density,SPL-PRO,37
1T,Cycling Performance,SPL-PRO,55
1T,Cycling Stability,SPL-PRO,38
1T,DOS,SPL-PRO,49
1T,Density of States,SPL-PRO,44
1T,Electrical Conductivity,SPL-PRO,42
1T,Electrochemical Performance,SPL-PRO,54
1T,Electronic,SPL-PRO,34
1T,Electronic Properties,SPL-PRO,41
1T,Electronic Structure,SPL-PRO,35
1T,Fermi Level,SPL-PRO,73
1T,HER Activity,SPL-PRO,44
1T,Interlayer Spacing,SPL-PRO,40
1T,Metallic,SPL-PRO,204
1T,Metals,SPL-PRO,70
1T,Metastable,SPL-PRO,31
1T,Morphologies,SPL-PRO,33
1T,Morphology,SPL-PRO,76
1T,Overpotential,SPL-PRO,67
1T,Phase,SPL-PRO,38
1T,Phase Transition,SPL-PRO,52
1T,Rate Capability,SPL-PRO,45
1T,Rate Performance,SPL-PRO,45
1T,Semiconducting,SPL-PRO,129
1T,Semiconductor,SPL-PRO,63
1T,Stability,SPL-PRO,80
1T,Structural,SPL-PRO,45
1T,Structure,SPL-PRO,236
1T,Structures,SPL-PRO,68
1T,Tafel Slope,SPL-PRO,86
1T,Unit Cell,SPL-PRO,31
1T,Valence Band,SPL-PRO,38
2212,Superconducting,SPL-PRO,36
2223,Superconducting,SPL-PRO,33
2223,Superconductor,SPL-PRO,30
2D,Structure,SPL-PRO,41
2H,Active Sites,SPL-PRO,43
2H,Activity,SPL-PRO,31
2H,Atomic Structure,SPL-PRO,58
2H,Atomic Structures,SPL-PRO,40
2H,Band Alignment,SPL-PRO,34
2H,Band Gap,SPL-PRO,73
2H,Band Structure,SPL-PRO,121
2H,Bandgap,SPL-PRO,93
2H,Capacity,SPL-PRO,30
2H,Catalytic Activity,SPL-PRO,43
2H,Compositions,SPL-PRO,82
2H,Conduction Band,SPL-PRO,36
2H,Conductivity,SPL-PRO,60
2H,Crystal Structure,SPL-PRO,168
2H,Current Density,SPL-PRO,36
2H,Cycling Performance,SPL-PRO,47
2H,Cycling Stability,SPL-PRO,32
2H,DOS,SPL-PRO,48
2H,Density of States,SPL-PRO,51
2H,Electrochemical Performance,SPL-PRO,45
2H,Electronic Properties,SPL-PRO,41
2H,Fermi Level,SPL-PRO,63
2H,HER Activity,SPL-PRO,42
2H,Interlayer Spacing,SPL-PRO,38
2H,Lattice Parameter,SPL-PRO,37
2H,Metallic,SPL-PRO,156
2H,Metals,SPL-PRO,67
2H,Metastable,SPL-PRO,35
2H,Microstructure,SPL-PRO,35
2H,Morphology,SPL-PRO,96
2H,Overpotential,SPL-PRO,65
2H,Phase,SPL-PRO,36
2H,Phase Transition,SPL-PRO,49
2H,Polytypes,SPL-PRO,42
2H,Rate Capability,SPL-PRO,36
2H,Rate Performance,SPL-PRO,31
2H,Semiconducting,SPL-PRO,121
2H,Semiconductor,SPL-PRO,75
2H,Stability,SPL-PRO,79
2H,Stacking Sequence,SPL-PRO,37
2H,Structural,SPL-PRO,57
2H,Structure,SPL-PRO,270
2H,Structures,SPL-PRO,83
2H,Tafel Slope,SPL-PRO,90
2H,Unit Cell,SPL-PRO,43
2H,Valence Band,SPL-PRO,51
3,Compositions,SPL-PRO,33
3,Crystal Structure,SPL-PRO,49
3,Ground State,SPL-PRO,34
3,Reconstructions,SPL-PRO,48
3,Structure,SPL-PRO,132
3,Structures,SPL-PRO,30
3,Unit Cell,SPL-PRO,35
3D,Crystal Structure,SPL-PRO,57
3D,Stability,SPL-PRO,48
3D,Structure,SPL-PRO,87
4H,Crystal Structure,SPL-PRO,40
4H,Polytypes,SPL-PRO,59
4H,Structure,SPL-PRO,48
6H,Crystal Structure,SPL-PRO,34
6H,Polytypes,SPL-PRO,44
6H,Structure,SPL-PRO,36
A-B,Microstructure,SPL-PRO,46
A-Phase,Compositions,SPL-PRO,65
A-Phase,Grain Size,SPL-PRO,34
A-Phase,Mechanical Property,SPL-PRO,50
A-Phase,Microstructure,SPL-PRO,164
A-Phase,Morphology,SPL-PRO,46
A-Phase,Strengths,SPL-PRO,40
A-Phase,Structure,SPL-PRO,75
A-Type,Ages,SPL-PRO,43
A-Type,Compositions,SPL-PRO,94
A-Type,END(t),SPL-PRO,34
A-Type,EU Anomaly,SPL-PRO,30
A-Type,Geochemical,SPL-PRO,41
A-Type,Granitoids,SPL-PRO,78
A-Type,K2O,SPL-PRO,31
A-Type,Mafic,SPL-PRO,47
A-Type,NB,SPL-PRO,40
A-Type,REE Pattern,SPL-PRO,30
A-Type,SiO2,SPL-PRO,56
A-Type,Structure,SPL-PRO,78
A-Type,U-Pb Age,SPL-PRO,30
A-Type,Zr,SPL-PRO,36
A1,Compositions,SPL-PRO,38
A15,Compositions,SPL-PRO,36
A15,TC,SPL-PRO,30
A2,Compositions,SPL-PRO,39
A3,Microstructure,SPL-PRO,32
A549,Cytotoxicity,SPL-PRO,39
ABA,Amphiphilic,SPL-PRO,41
ABA,Molecular Weight,SPL-PRO,33
ABA,Structure,SPL-PRO,34
ACT,Activity,SPL-PRO,30
ACT,Compositions,SPL-PRO,31
ACT,Morphology,SPL-PRO,71
ACT,Stability,SPL-PRO,36
ACT,Structure,SPL-PRO,64
AM,Compositions,SPL-PRO,32
AML,Apoptosis,SPL-PRO,32
AML,Leukemia,SPL-PRO,119
AML,OS,SPL-PRO,37
AML,Survival,SPL-PRO,63
AML,Syndrome,SPL-PRO,40
ARC,Compositions,SPL-PRO,64
ARC,SiO2,SPL-PRO,30
Abab,Structure,SPL-PRO,30
Abstract,A1/4,SPL-PRO,33
Abstract,Absorption,SPL-PRO,70
Abstract,Activation Energy,SPL-PRO,86
Abstract,Activity,SPL-PRO,237
Abstract,Adhesions,SPL-PRO,32
Abstract,Adsorption Capacity,SPL-PRO,64
Abstract,Band Gap,SPL-PRO,162
Abstract,Band Gap Energy,SPL-PRO,31
Abstract,Band Structure,SPL-PRO,36
Abstract,Bandgap,SPL-PRO,58
Abstract,C 1/4,SPL-PRO,44
Abstract,Capacitance,SPL-PRO,77
Abstract,Capacity,SPL-PRO,228
Abstract,Capacity Retention,SPL-PRO,135
Abstract,Catalytic Activity,SPL-PRO,227
Abstract,Catalytic Performance,SPL-PRO,82
Abstract,Catalytic Properties,SPL-PRO,37
Abstract,Charge Transfer Resistance,SPL-PRO,78
Abstract,Charges,SPL-PRO,32
Abstract,Chemical Composition,SPL-PRO,70
Abstract,Compositions,SPL-PRO,380
Abstract,Conducting,SPL-PRO,42
Abstract,Conductive,SPL-PRO,80
Abstract,Conductivity,SPL-PRO,176
Abstract,Conversion Efficiency,SPL-PRO,55
Abstract,Coordination,SPL-PRO,56
Abstract,Corrosion Resistance,SPL-PRO,68
Abstract,Coulombic Efficiency,SPL-PRO,65
Abstract,Crystal Structure,SPL-PRO,315
Abstract,Crystalline Structure,SPL-PRO,46
Abstract,Crystallinity,SPL-PRO,136
Abstract,Crystallite Size,SPL-PRO,81
Abstract,Current Density,SPL-PRO,50
Abstract,Cycle Life,SPL-PRO,36
Abstract,Cycle Stability,SPL-PRO,37
Abstract,Cycleability,SPL-PRO,37
Abstract,Cycling Performance,SPL-PRO,85
Abstract,Cycling Stability,SPL-PRO,122
Abstract,Defect,SPL-PRO,53
Abstract,Dense,SPL-PRO,75
Abstract,Density,SPL-PRO,95
Abstract,Density of States,SPL-PRO,32
Abstract,Detection Limit,SPL-PRO,131
Abstract,Dielectric Constant,SPL-PRO,41
Abstract,Diffusion Coefficient,SPL-PRO,33
Abstract,Discharge Capacity,SPL-PRO,230
Abstract,Durability,SPL-PRO,57
Abstract,Efficiencies,SPL-PRO,32
Abstract,Efficiency,SPL-PRO,166
Abstract,Electrical,SPL-PRO,45
Abstract,Electrical Conductivity,SPL-PRO,116
Abstract,Electrical Properties,SPL-PRO,58
Abstract,Electrical Resistivity,SPL-PRO,36
Abstract,Electrocatalytic Activity,SPL-PRO,104
Abstract,Electrochemical,SPL-PRO,30
Abstract,Electrochemical Activity,SPL-PRO,42
Abstract,Electrochemical Behavior,SPL-PRO,95
Abstract,Electrochemical Performance,SPL-PRO,315
Abstract,Electrochemical Properties,SPL-PRO,197
Abstract,Electron Transport,SPL-PRO,32
Abstract,Electronic,SPL-PRO,80
Abstract,Electronic Conductivity,SPL-PRO,48
Abstract,Electronic Properties,SPL-PRO,61
Abstract,Electronic Structure,SPL-PRO,78
Abstract,Electronic Structures,SPL-PRO,38
Abstract,Emission Intensity,SPL-PRO,39
Abstract,Energy,SPL-PRO,33
Abstract,Energy Density,SPL-PRO,91
Abstract,Fermi Level,SPL-PRO,39
Abstract,Ferromagnetic,SPL-PRO,36
