Subject,Object,Rel,Count
110,Annealing,SPL-SMT,34
1T,Annealed,SPL-SMT,46
1T,Annealing,SPL-SMT,58
1T,CVD,SPL-SMT,81
1T,Chemical Vapour Deposition,SPL-SMT,31
1T,Chemically Exfoliated,SPL-SMT,40
1T,Coated,SPL-SMT,30
1T,Doping,SPL-SMT,39
1T,Exfoliate,SPL-SMT,44
1T,Exfoliation,SPL-SMT,49
1T,Lithiation,SPL-SMT,30
2H,Annealed,SPL-SMT,63
2H,Annealing,SPL-SMT,87
2H,CVD,SPL-SMT,79
2H,Chemically Exfoliated,SPL-SMT,31
2H,Doping,SPL-SMT,33
2H,Exfoliate,SPL-SMT,47
2H,Exfoliation,SPL-SMT,50
2H,Heating,SPL-SMT,37
2H,Lithiation,SPL-SMT,31
3,Annealing,SPL-SMT,62
A-Phase,Annealing,SPL-SMT,31
A-Phase,Heat Treatment,SPL-SMT,35
A-Type,Fractional Crystallization,SPL-SMT,31
A-Type,Melting,SPL-SMT,80
AML,Chemotherapy,SPL-SMT,38
ARC,Melting,SPL-SMT,32
Abstract,Aging,SPL-SMT,30
Abstract,Annealed,SPL-SMT,113
Abstract,Annealing,SPL-SMT,200
Abstract,Calcination,SPL-SMT,149
Abstract,Calcined,SPL-SMT,65
Abstract,Co-precipitation Method,SPL-SMT,32
Abstract,Coated,SPL-SMT,172
Abstract,Coatings,SPL-SMT,58
Abstract,Cooling,SPL-SMT,52
Abstract,Doping,SPL-SMT,110
Abstract,Electrodeposition,SPL-SMT,82
Abstract,Electrodeposits,SPL-SMT,37
Abstract,Heat Treatment,SPL-SMT,94
Abstract,Heated,SPL-SMT,39
Abstract,Heating,SPL-SMT,94
Abstract,Hydrolysis,SPL-SMT,37
Abstract,Hydrothermal,SPL-SMT,63
Abstract,Hydrothermal Condition,SPL-SMT,42
Abstract,Hydrothermal Method,SPL-SMT,76
Abstract,Hydrothermal Synthesis,SPL-SMT,43
Abstract,Irradiated,SPL-SMT,40
Abstract,Irradiation,SPL-SMT,80
Abstract,Oxidation,SPL-SMT,181
Abstract,Oxidize,SPL-SMT,57
Abstract,Pulsed Laser Deposition,SPL-SMT,41
Abstract,Pyrolysis,SPL-SMT,40
Abstract,Reductions,SPL-SMT,84
Abstract,Sintered,SPL-SMT,55
Abstract,Sintering,SPL-SMT,81
Abstract,Sol-Gel,SPL-SMT,134
Abstract,Solid State Reaction,SPL-SMT,89
Abstract,Thermal Decomposition,SPL-SMT,40
Abstract,Thermal Treatment,SPL-SMT,58
Acicular,Cooling,SPL-SMT,98
Acicular,Weld,SPL-SMT,54
Acicular,Welded,SPL-SMT,37
Acicular,Welding,SPL-SMT,41
Adakite,Melting,SPL-SMT,80
Adakitic,Melting,SPL-SMT,74
Adakitic,Partial Melting,SPL-SMT,35
Alkaline,Fractional Crystallization,SPL-SMT,59
Alkaline,Melting,SPL-SMT,104
Alkaline,Partial Melting,SPL-SMT,49
Alpha,Annealed,SPL-SMT,66
Alpha,Annealing,SPL-SMT,58
Alpha,Beta,SPL-SMT,69
Alpha,Cooling,SPL-SMT,76
Alpha,Deformations,SPL-SMT,52
Alpha,Heat Treated,SPL-SMT,39
Alpha,Heat Treatment,SPL-SMT,81
Alpha,Heating,SPL-SMT,50
Alpha,Sintered,SPL-SMT,45
Alpha,Sintering,SPL-SMT,31
Amphiboles,Melting,SPL-SMT,33
Amphibolite,Cooling,SPL-SMT,116
Amphibolite,Decompression,SPL-SMT,35
Amphibolite,Exhumation,SPL-SMT,83
Amphibolite,HP,SPL-SMT,46
Amphibolite,Heating,SPL-SMT,38
Amphibolite,Melting,SPL-SMT,171
Amphibolite,Metamorphic,SPL-SMT,121
Amphibolite,Metamorphism,SPL-SMT,193
Amphibolite,Metamorphosed,SPL-SMT,75
Amphibolite,Partial Melting,SPL-SMT,67
Amphibolite,Recrystallized,SPL-SMT,31
Amphibolite,Subduction,SPL-SMT,32
Anatase,ALD,SPL-SMT,45
Anatase,Acid Treated,SPL-SMT,38
Anatase,Acid Treatment,SPL-SMT,52
Anatase,Aged,SPL-SMT,100
Anatase,Aging,SPL-SMT,135
Anatase,Ald,SPL-SMT,190
Anatase,Annealed,SPL-SMT,1287
Anatase,Annealing,SPL-SMT,1523
Anatase,Anodic Oxidation,SPL-SMT,111
Anatase,Anodization,SPL-SMT,436
Anatase,Anodized,SPL-SMT,269
