Subject,Object,Rel,Count
100,101,SPL-SPL,33
100,110,SPL-SPL,56
100,Anatase,SPL-SPL,48
100,Cubic,SPL-SPL,36
100,FCC,SPL-SPL,59
100,Rutile,SPL-SPL,47
101,100,SPL-SPL,33
101,110,SPL-SPL,94
101,Anatase,SPL-SPL,353
101,Rutile,SPL-SPL,137
110,100,SPL-SPL,56
110,101,SPL-SPL,94
110,Anatase,SPL-SPL,124
110,BCC,SPL-SPL,36
110,FCC,SPL-SPL,46
110,Perovskites,SPL-SPL,43
110,Rutile,SPL-SPL,332
12,C2/M,SPL-SPL,43
12,Monoclinic,SPL-SPL,44
14,Monoclinic,SPL-SPL,147
14,P2 1/N,SPL-SPL,38
14,P21/C,SPL-SPL,60
14,P21C,SPL-SPL,39
194,Hexagonal,SPL-SPL,31
194,P63/MMC,SPL-SPL,41
1H,1T,SPL-SPL,46
1T,1H,SPL-SPL,46
1T,2H,SPL-SPL,488
1T,Hexagonal,SPL-SPL,107
1T,Trigonal,SPL-SPL,46
1Tphase,2H,SPL-SPL,38
2212,2223,SPL-SPL,48
2223,2212,SPL-SPL,48
225,Cubic,SPL-SPL,39
2D,Hexagonal,SPL-SPL,40
2D,Perovskites,SPL-SPL,49
2H,1T,SPL-SPL,488
2H,1Tphase,SPL-SPL,38
2H,4H,SPL-SPL,52
2H,Cubic,SPL-SPL,66
2H,Hexagonal,SPL-SPL,252
2H,Orthorhombic,SPL-SPL,35
2H,Perovskites,SPL-SPL,46
2H,Rhombohedral,SPL-SPL,50
2H,Tetragonal,SPL-SPL,30
2H,Trigonal,SPL-SPL,50
3,Cubic,SPL-SPL,39
3,Hexagonal,SPL-SPL,41
3,P,SPL-SPL,41
3,Perovskites,SPL-SPL,31
304,Austenitic,SPL-SPL,77
3D,Cubic,SPL-SPL,36
3D,Perovskites,SPL-SPL,118
4H,2H,SPL-SPL,52
4H,6H,SPL-SPL,100
4H,Cubic,SPL-SPL,53
4H,Hexagonal,SPL-SPL,105
60,Orthorhombic,SPL-SPL,31
60,PBCN,SPL-SPL,32
6H,4H,SPL-SPL,100
6H,Cubic,SPL-SPL,51
6H,Hexagonal,SPL-SPL,104
6H,Perovskites,SPL-SPL,43
A-Phase,G,SPL-SPL,58
A-Phase,Perovskites,SPL-SPL,38
A-Phase,Phase,SPL-SPL,55
A-Type,B-Type,SPL-SPL,46
A-Type,Calc,SPL-SPL,32
A-Type,Chondrite,SPL-SPL,33
A-Type,Garnet,SPL-SPL,43
A-Type,Granite,SPL-SPL,157
A-Type,Granitic,SPL-SPL,49
A-Type,Granitoids,SPL-SPL,56
A-Type,Hexagonal,SPL-SPL,34
A-Type,Type,SPL-SPL,75
A1,A2,SPL-SPL,50
A15,BCC,SPL-SPL,39
A2,A1,SPL-SPL,50
A2,B2,SPL-SPL,40
A21am,Orthorhombic,SPL-SPL,37
A:,Anatase,SPL-SPL,48
A:,Rutile,SPL-SPL,46
ABA2,Orthorhombic,SPL-SPL,32
ABO3,Perovskites,SPL-SPL,73
ACT,B s t,SPL-SPL,97
ACT,S T,SPL-SPL,396
ACT,T,SPL-SPL,389
AFM,AFT,SPL-SPL,33
AFT,AFM,SPL-SPL,33
AM,Amphibolite,SPL-SPL,34
AM,Eclogites,SPL-SPL,30
AML,Acute,SPL-SPL,52
AML,Acute Myeloid,SPL-SPL,198
AML,Acute Myeloid Leukemia,SPL-SPL,112
AML,Leukemia,SPL-SPL,55
AML,MDS,SPL-SPL,36
AML,Myelodysplastic,SPL-SPL,37
AML,Myeloid,SPL-SPL,35
AMM2,Orthorhombic,SPL-SPL,47
ARC,Calc,SPL-SPL,30
Abstract,Anatase,SPL-SPL,127
Abstract,Cubic,SPL-SPL,156
Abstract,Double Perovskite,SPL-SPL,37
Abstract,FCC,SPL-SPL,31
Abstract,Hexagonal,SPL-SPL,216
Abstract,Martensite,SPL-SPL,32
Abstract,Monoclinic,SPL-SPL,178
Abstract,Orthorhombic,SPL-SPL,134
Abstract,Perovskites,SPL-SPL,187
Abstract,Rhombohedral,SPL-SPL,63
Abstract,Rutile,SPL-SPL,82
Abstract,Spinels,SPL-SPL,122
Abstract,Tetragonal,SPL-SPL,133
